"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",101,167,37,44,173,84,230,197,1406,101,333,51,815,85,172,179,148,15,191,471
"2",89,151,124,12,110,91,186,128,1445,129,269,65,845,89,157,55,159,58,342,496
"3",194,79,41,134,120,39,53,207,1700,88,266,21,823,134,353,41,88,74,222,323
"4",135,114,115,72,67,78,62,140,1395,133,362,45,989,82,150,107,216,32,324,382
"5",185,154,49,53,123,49,162,222,1739,109,252,19,665,59,164,53,86,68,247,542
"6",154,165,98,43,35,76,119,75,1781,80,284,17,832,77,172,45,259,14,284,390
"7",140,156,11,51,89,47,163,206,1746,107,126,74,783,69,315,59,115,32,197,514
"8",128,159,51,17,91,109,37,335,1788,71,197,110,688,117,183,81,201,29,210,398
"9",99,120,109,56,91,79,96,212,1512,98,358,36,769,155,222,97,164,54,247,426
"10",255,139,114,31,134,57,88,218,1661,121,241,52,850,61,180,60,122,59,209,348
"11",47,60,37,66,75,126,150,211,1492,223,252,30,834,136,198,182,178,45,294,364
"12",252,131,62,41,116,44,84,138,1107,90,461,132,697,127,202,95,214,115,315,577
"13",161,109,64,99,77,26,42,210,1612,138,297,105,580,33,214,54,249,27,451,452
"14",93,111,40,86,107,66,151,93,1534,233,360,84,828,62,162,62,118,88,347,375
"15",117,241,42,57,136,133,145,151,1618,65,170,96,819,57,181,36,162,78,288,408
"16",83,153,115,29,61,83,162,74,1510,124,355,88,1022,60,217,26,166,37,306,329
"17",138,143,129,63,109,80,141,142,1180,95,411,57,804,71,368,125,188,104,177,475
"18",110,137,48,67,83,57,174,167,1491,87,218,44,848,58,160,79,286,133,194,559
"19",89,104,92,67,98,56,165,169,1703,152,263,17,797,88,99,16,160,88,355,422
"20",113,124,57,51,88,77,151,171,1643,135,295,63,836,46,296,91,128,35,190,410
"21",81,186,68,118,87,31,157,113,1665,41,367,70,625,86,107,181,208,34,391,384
"22",67,96,122,37,66,47,132,61,1573,68,226,74,888,146,411,76,206,19,186,499
"23",91,42,66,14,94,31,77,125,1636,154,366,118,947,190,119,30,101,81,331,387
"24",111,97,89,78,24,136,31,157,1606,131,357,31,828,112,183,52,69,82,254,572
"25",185,126,44,93,53,144,136,169,1592,65,103,57,981,164,266,67,91,21,235,408
"26",181,196,70,120,43,25,118,195,1702,259,304,150,586,23,107,56,158,57,272,378
"27",233,60,61,114,127,84,58,226,1628,31,241,83,760,105,214,37,144,63,346,385
"28",121,135,60,80,83,21,71,103,1645,100,236,44,923,73,230,110,212,64,218,471
"29",57,150,52,36,162,17,54,264,1498,153,256,80,1024,61,270,182,77,47,244,316
"30",118,217,43,41,74,53,162,179,1374,98,289,149,714,89,265,169,151,69,260,486
"31",87,126,79,39,77,40,81,137,1446,75,313,80,880,75,402,35,220,39,309,460
"32",158,107,8,50,67,23,149,161,1747,107,372,119,797,68,273,26,113,67,198,390
"33",62,88,45,61,61,85,260,101,1395,126,170,131,1142,87,174,20,133,99,285,475
"34",163,112,187,48,118,69,189,100,1282,110,252,49,1000,30,183,76,243,144,206,439
"35",194,117,52,29,74,42,184,132,1353,172,269,62,801,153,235,192,317,74,217,331
"36",244,143,53,58,67,56,132,193,1400,159,200,25,979,82,119,29,215,43,338,465
"37",171,122,211,26,62,93,112,143,1580,180,222,75,693,102,210,88,198,76,155,481
"38",89,147,51,112,63,80,103,293,1568,70,215,80,855,110,248,108,143,41,334,290
"39",124,93,48,34,78,59,68,237,1365,98,456,40,870,137,165,40,164,69,283,572
"40",65,150,178,59,118,74,125,94,1769,168,209,24,721,62,187,51,245,85,268,348
"41",200,206,14,47,69,136,91,190,1298,128,311,133,828,66,120,122,125,99,340,477
"42",89,167,114,99,88,39,129,154,1356,104,328,80,858,59,229,129,207,40,332,399
"43",174,95,12,68,69,41,53,85,1516,94,594,44,704,82,123,26,156,45,277,742
"44",177,56,36,83,73,80,162,121,1603,175,186,35,894,42,249,155,210,51,187,425
"45",81,193,62,37,93,75,61,226,1552,77,246,20,923,143,237,77,106,321,165,305
"46",135,97,102,48,49,16,105,176,1774,92,203,54,776,34,212,63,228,51,273,512
"47",160,104,56,76,104,145,105,222,1534,123,160,78,811,60,282,12,186,131,236,415
"48",153,202,51,144,48,77,124,127,1470,96,204,33,671,177,241,70,214,35,367,496
"49",133,85,74,25,65,40,129,217,1519,121,354,32,881,60,152,111,109,121,353,419
"50",42,152,25,73,64,100,175,154,1479,215,192,66,712,60,135,163,318,31,337,507
"51",197,237,18,109,186,125,95,62,1346,105,260,72,889,19,195,93,164,89,223,516
"52",80,88,12,76,68,63,105,220,1812,105,236,82,764,24,331,48,140,38,276,432
"53",154,176,61,64,17,36,111,254,1350,173,291,101,819,70,209,50,213,45,352,454
"54",174,124,81,33,100,145,155,155,1513,107,270,36,786,148,187,56,183,58,281,408
"55",145,124,61,89,42,92,53,178,1604,118,417,51,960,74,210,66,66,53,216,381
"56",236,154,95,36,106,65,142,115,1453,275,209,67,671,39,254,41,146,116,325,455
"57",130,213,29,62,119,96,133,161,1372,99,351,65,558,51,364,89,229,58,422,399
"58",212,125,33,160,177,55,151,179,1253,61,189,36,828,54,308,34,194,87,261,603
"59",50,276,77,35,54,115,183,149,1393,78,232,158,953,77,147,45,178,77,299,424
"60",130,302,87,117,150,37,93,192,1642,102,311,30,847,85,159,89,134,45,147,301
