"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)"
"1",100,1,2,0,0.1,1.1,3,0.565656565656566,0.560606060606061,0.53030303030303,0.53030303030303,0.611111111111111,0.611111111111111,0.72979797979798,0.72979797979798,0.242424242424242,0.242424242424242,0.580808080808081,0.580808080808081,0.464646464646465,0.494949494949495,NA,NA,NA,0.474747474747475,NA,0.560606060606061,0.462121212121212,0.383838383838384,0.560606060606061,0.565656565656566,0.565656565656566,0.565656565656566,0.565656565656566,0.565656565656566,0.565656565656566
"2",500,1,2,0,0.1,1.1,3,0.618236472945892,0.620240480961924,0.683366733466934,0.683366733466934,0.635270541082164,0.635270541082164,0.19438877755511,0.19438877755511,0.386773547094188,0.386773547094188,0.811623246492986,0.811623246492986,0.633266533066132,0.464929859719439,NA,NA,NA,0.707414829659319,NA,0.25751503006012,0.636773547094188,0.440881763527054,0.620240480961924,0.620240480961924,0.620240480961924,0.620240480961924,0.620240480961924,0.620240480961924,0.620240480961924
"3",1000,1,2,0,0.1,1.1,3,0.341591591591592,0.341341341341341,0.408908908908909,0.408908908908909,0.2997997997998,0.2997997997998,0.838088088088088,0.838088088088088,0.528528528528528,0.528528528528528,0.334834834834835,0.334834834834835,0.31981981981982,0.441941941941942,NA,NA,NA,0.45995995995996,NA,0.534534534534534,0.338838838838839,0.142642642642643,0.341341341341341,0.341341341341341,0.341341341341341,0.341341341341341,0.341341341341341,0.341341341341341,0.341341341341341
"4",100,5,2,0,0.1,1.1,3,0.504210526315789,0.506315789473684,0.444736842105263,0.444736842105263,0.477894736842105,0.477894736842105,0.482105263157895,0.482105263157895,0.483157894736842,0.483157894736842,0.402105263157895,0.402105263157895,0.527368421052632,0.568947368421053,NA,NA,NA,0.405263157894737,NA,0.451578947368421,0.522631578947368,0.463684210526316,0.507368421052632,0.506315789473684,0.506315789473684,0.506315789473684,0.506315789473684,0.506315789473684,0.506315789473684
"5",500,5,2,0,0.1,1.1,3,0.58959595959596,0.589090909090909,0.60949494949495,0.60949494949495,0.601414141414141,0.601414141414141,0.387979797979798,0.387979797979798,0.416969696969697,0.416969696969697,0.475555555555556,0.475555555555556,0.544040404040404,0.541414141414141,NA,NA,NA,0.543838383838384,NA,0.548888888888889,0.58010101010101,0.527979797979798,0.589090909090909,0.589292929292929,0.589292929292929,0.589292929292929,0.589292929292929,0.589292929292929,0.589292929292929
"6",1000,5,2,0,0.1,1.1,3,0.547236180904523,0.546934673366834,0.492964824120603,0.492964824120603,0.533065326633166,0.533065326633166,0.375678391959799,0.375678391959799,0.426683417085427,0.426683417085427,0.391507537688442,0.391507537688442,0.475879396984925,0.530804020100503,NA,NA,NA,0.509899497487437,NA,0.535879396984925,0.541005025125628,0.434472361809045,0.546934673366834,0.546934673366834,0.546934673366834,0.546934673366834,0.546934673366834,0.546934673366834,0.546934673366834
"7",100,10,2,0,0.1,1.1,3,0.450555555555556,0.45,0.45,0.45,0.443333333333333,0.443333333333333,0.4125,0.4125,0.391111111111111,0.391111111111111,0.441944444444444,0.441944444444444,0.457222222222222,0.508333333333333,NA,NA,NA,0.448055555555556,NA,0.529722222222222,0.516111111111111,0.490555555555556,0.45,0.45,0.45,0.45,0.45,0.45,0.45
"8",500,10,2,0,0.1,1.1,3,0.468622448979592,0.469183673469388,0.482857142857143,0.482857142857143,0.468673469387755,0.468673469387755,0.420765306122449,0.420765306122449,0.374489795918367,0.374489795918367,0.413061224489796,0.413061224489796,0.448520408163265,0.510714285714286,NA,NA,NA,0.476173469387755,NA,0.493265306122449,0.466479591836735,0.447397959183673,0.469183673469388,0.469183673469388,0.469183673469388,0.469183673469388,0.469183673469388,0.469183673469388,0.469183673469388
"9",1000,10,2,0,0.1,1.1,3,0.460782828282828,0.460606060606061,0.489646464646465,0.489646464646465,0.466868686868687,0.466868686868687,0.455555555555556,0.455555555555556,0.409671717171717,0.409671717171717,0.435176767676768,0.435176767676768,0.499722222222222,0.500151515151515,NA,NA,NA,0.479419191919192,NA,0.464217171717172,0.506161616161616,0.509848484848485,0.460606060606061,0.460707070707071,0.460707070707071,0.460707070707071,0.460707070707071,0.460707070707071,0.460707070707071
"10",100,1,5,0,0.1,1.1,3,0.48989898989899,0.525252525252525,0.409090909090909,0.409090909090909,0.414141414141414,0.414141414141414,0.393939393939394,0.393939393939394,0.297979797979798,0.297979797979798,0.434343434343434,0.434343434343434,0.45959595959596,0.44949494949495,0.606060606060606,0.747474747474748,0.631313131313131,0.343434343434343,0.575757575757576,0.388888888888889,0.474747474747475,0.393939393939394,NA,0.525252525252525,0.525252525252525,0.535353535353535,0.535353535353535,0.52020202020202,0.52020202020202
"11",500,1,5,0,0.1,1.1,3,0.661322645290581,0.666332665330661,0.599198396793587,0.599198396793587,0.597194388777555,0.597194388777555,0.767535070140281,0.767535070140281,0.75250501002004,0.75250501002004,0.595190380761523,0.595190380761523,0.544088176352705,0.547094188376753,0.517034068136273,0.501002004008016,0.597194388777555,0.619238476953908,0.643286573146293,0.668336673346693,0.56813627254509,0.514028056112224,NA,0.610220440881764,0.610220440881764,0.644288577154309,0.644288577154309,0.702404809619239,0.702404809619239
