"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170"
"1",23,16,13,24,9,34,68,14,15,36,6,50,11,14,75,11,36,42,30,22,16,12,19,5,24,37,18,28,24,18,43,32,37,24,34,53,96,23,26,33,50,18,57,19,23,55,40,22,10,25,22,11,97,29,24,27,17,13,22,82,40,13,55,47,53,21,33,18,34,27,29,12,17,41,8,50,38,30,27,57,9,21,16,29,3,13,28,23,27,57,29,61,31,24,71,11,4,19,18,28,40,26,5,100,36,7,17,28,29,17,26,27,17,21,19,9,28,24,34,27,22,27,45,53,39,13,31,37,26,36,23,29,13,3,52,41,40,56,24,39,22,31,47,19,13,20,44,29,42,18,30,51,10,54,7,19,21,24,2,31,33,21,21,14,20,72,38,27,27,21
"2",21,57,47,37,42,78,57,11,64,18,29,69,48,10,59,12,42,19,18,18,7,16,37,13,17,8,65,63,12,10,26,17,45,39,23,15,47,29,53,14,49,32,51,10,49,41,5,4,32,14,22,10,23,25,15,8,51,29,30,13,61,26,96,43,59,10,9,37,27,35,12,41,62,19,30,22,36,27,26,36,16,19,20,35,20,23,21,14,32,35,15,27,20,19,14,38,12,32,17,45,44,38,31,53,34,8,27,11,15,33,11,11,20,27,36,23,102,32,34,5,31,36,51,59,19,18,31,31,65,27,8,40,12,6,21,6,10,15,8,30,36,44,34,30,19,23,41,21,22,11,19,22,29,28,45,14,24,45,52,13,46,23,26,23,33,25,70,32,14,4
"3",55,63,9,35,37,8,31,43,42,39,22,32,25,21,69,22,26,29,12,31,28,50,29,11,22,10,11,14,24,32,35,60,30,14,13,12,35,22,28,9,8,25,24,33,17,31,42,37,22,12,38,14,8,10,12,13,55,15,31,13,24,17,49,34,38,28,19,18,52,39,26,21,16,36,64,10,23,44,30,31,26,8,15,46,4,27,16,18,33,58,62,64,34,13,61,41,16,18,7,35,29,58,4,54,22,24,25,15,98,13,23,24,56,25,19,21,16,29,71,53,10,19,17,20,32,48,36,20,56,23,33,31,12,41,41,28,38,51,10,57,13,38,46,27,36,32,2,28,20,16,54,15,11,30,8,46,44,95,19,25,16,45,11,12,34,75,33,16,15,15
"4",7,18,81,3,19,19,61,10,66,21,13,27,19,31,33,53,28,20,15,16,28,11,28,22,17,19,12,41,28,25,12,63,40,8,7,47,44,7,71,23,19,11,27,42,19,20,57,36,26,51,34,34,22,31,45,33,15,10,43,25,24,69,127,19,73,34,16,5,34,16,83,19,20,17,22,13,36,32,24,39,27,14,28,16,29,19,14,18,56,30,21,32,10,27,25,24,10,18,23,26,49,15,7,30,48,1,15,7,34,19,33,39,12,56,19,26,17,6,41,45,15,20,22,27,28,35,23,33,56,28,0,14,35,14,72,20,8,36,25,43,55,40,36,8,6,21,35,14,36,13,63,42,5,22,42,25,106,80,41,37,24,29,5,49,11,63,40,28,16,33
"5",24,36,13,28,26,13,61,12,14,20,22,78,32,7,54,14,36,24,20,45,30,21,4,8,35,59,33,17,11,45,31,10,54,36,41,18,30,10,40,30,13,23,10,42,19,20,38,19,15,14,35,46,14,31,38,37,44,38,13,88,13,44,40,19,51,7,15,5,49,26,40,21,32,43,9,20,7,64,20,23,22,37,37,30,31,3,23,21,71,18,8,19,17,28,40,33,11,50,12,12,68,30,25,64,51,20,21,9,26,24,40,28,20,23,31,13,29,24,100,28,19,19,18,49,13,19,52,28,97,29,44,19,10,41,30,19,19,7,19,31,18,21,33,16,36,13,27,13,41,29,34,51,37,7,21,37,40,54,20,13,14,29,28,47,32,96,62,15,15,35
"6",14,26,49,22,7,17,62,34,18,8,13,41,24,18,39,14,19,20,19,27,31,15,42,6,7,17,67,18,31,37,16,34,19,28,4,15,43,17,29,53,28,38,3,10,39,30,31,49,72,24,21,47,33,54,58,17,73,6,14,27,34,50,54,3,28,34,16,12,22,27,35,21,31,53,14,25,22,41,27,16,2,14,20,17,20,37,31,35,29,29,8,19,9,18,78,45,34,97,10,57,16,30,32,52,23,31,9,38,31,25,47,59,16,14,42,32,64,25,102,15,35,8,47,54,11,31,9,66,46,20,14,25,15,21,40,33,12,12,20,15,38,48,43,17,30,24,47,9,65,10,95,34,12,12,39,14,11,47,31,21,12,27,7,17,17,26,58,36,40,8
"7",13,78,18,60,33,30,31,23,12,42,26,23,23,17,54,15,16,21,34,14,19,13,36,24,12,18,38,21,64,23,12,5,35,22,9,23,23,30,20,54,28,35,5,35,44,8,27,16,31,9,39,5,25,31,18,18,22,36,23,46,66,50,30,19,60,22,17,28,6,53,14,34,24,43,17,15,31,38,21,4,16,24,16,74,37,33,13,22,22,17,33,13,9,26,39,12,5,34,45,49,50,16,29,172,73,7,31,30,8,50,36,11,6,10,28,7,44,8,76,65,25,25,38,56,42,3,35,25,28,29,57,18,33,22,6,25,33,47,39,13,38,36,33,42,25,21,41,11,27,25,30,52,10,12,19,50,25,23,22,39,17,27,21,27,45,53,52,38,21,46
"8",39,25,22,13,37,26,58,7,57,20,30,45,29,16,29,12,15,89,22,44,34,11,38,22,19,39,22,54,72,13,13,8,23,13,18,13,34,30,35,27,22,22,42,30,116,35,40,56,16,7,17,16,15,11,25,59,31,19,21,30,5,44,82,29,45,16,31,33,16,27,1,18,19,31,43,22,37,29,11,53,73,71,46,24,11,29,30,24,50,22,13,26,15,21,66,14,17,30,18,9,51,31,13,29,62,19,39,29,29,4,23,13,32,12,7,18,14,18,41,92,29,36,27,34,20,5,18,20,70,13,33,31,10,15,20,13,19,26,19,15,8,36,28,13,45,9,20,18,17,43,48,36,17,11,17,75,32,62,20,8,31,55,41,19,30,69,52,55,19,13
"9",29,22,55,35,10,41,58,58,56,36,55,82,12,15,18,24,20,41,8,46,18,14,42,37,11,34,42,39,35,20,26,8,44,22,22,20,30,44,7,35,14,8,9,46,10,32,8,8,15,20,6,62,28,1,41,74,8,82,22,28,12,18,60,33,56,21,32,17,50,25,19,20,18,5,23,6,12,15,33,25,57,23,35,89,54,25,13,7,11,16,20,19,64,33,85,32,40,11,20,32,69,52,21,68,46,42,30,20,37,16,5,29,15,28,10,17,34,42,37,23,5,35,9,38,12,26,35,36,33,27,26,5,14,36,62,16,19,7,15,42,33,69,18,51,14,23,6,9,27,30,79,46,22,15,24,16,17,46,21,11,11,30,31,45,23,56,21,37,38,13
"10",14,69,18,66,57,20,63,36,40,35,59,39,21,14,39,10,34,6,19,10,40,31,19,48,19,40,35,33,17,28,32,27,37,13,22,28,34,45,38,32,37,31,46,26,52,21,15,2,20,19,49,22,10,34,14,26,16,15,20,25,26,66,58,4,50,11,31,20,14,16,35,28,24,16,9,36,5,37,16,72,41,45,12,40,35,10,13,7,25,27,33,35,38,21,32,17,39,4,33,19,27,65,29,96,45,39,9,27,62,15,31,61,20,27,31,35,34,39,33,39,15,17,21,30,112,27,14,27,23,34,28,23,25,11,53,56,28,15,7,11,9,29,25,43,32,11,43,0,19,30,25,14,20,51,31,4,15,27,28,21,21,56,9,9,22,84,21,14,35,24
