"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)"
"1",100,1,2,0,0.1,1.1,3,0.363636363636364,0.373737373737374,0.525252525252525,0.525252525252525,0.439393939393939,0.439393939393939,0.348484848484849,0.348484848484849,0.583333333333333,0.583333333333333,0.351010101010101,0.351010101010101,0.51010101010101,0.707070707070707,NA,NA,NA,0.626262626262626,NA,0.414141414141414,0.525252525252525,0.464646464646465,0.373737373737374,0.358585858585859,0.358585858585859,0.358585858585859,0.358585858585859,0.358585858585859,0.358585858585859
"2",500,1,2,0,0.1,1.1,3,0.585170340681363,0.579158316633267,0.479959919839679,0.479959919839679,0.55811623246493,0.55811623246493,0.372745490981964,0.372745490981964,0.543587174348697,0.543587174348697,0.533066132264529,0.533066132264529,0.754509018036072,0.464929859719439,NA,NA,NA,0.655310621242485,NA,0.448897795591182,0.545090180360721,0.665330661322645,0.579158316633267,0.579158316633267,0.579158316633267,0.579158316633267,0.579158316633267,0.579158316633267,0.579158316633267
"3",1000,1,2,0,0.1,1.1,3,0.436936936936937,0.432932932932933,0.363363363363363,0.363363363363363,0.38038038038038,0.38038038038038,0.366616616616617,0.366616616616617,0.435435435435435,0.435435435435435,0.449449449449449,0.449449449449449,0.477977977977978,0.64964964964965,NA,NA,NA,0.462212212212212,NA,0.441941941941942,0.517517517517518,0.591091091091091,0.432932932932933,0.432932932932933,0.432932932932933,0.432932932932933,0.432932932932933,0.432932932932933,0.432932932932933
"4",100,5,2,0,0.1,1.1,3,0.435789473684211,0.434736842105263,0.488947368421053,0.488947368421053,0.472631578947368,0.472631578947368,0.428421052631579,0.428421052631579,0.378421052631579,0.378421052631579,0.494210526315789,0.494210526315789,0.433157894736842,0.377368421052632,NA,NA,NA,0.436842105263158,NA,0.440526315789474,0.491578947368421,0.46,0.435789473684211,0.434736842105263,0.434736842105263,0.434736842105263,0.434736842105263,0.434736842105263,0.434736842105263
"5",500,5,2,0,0.1,1.1,3,0.612020202020202,0.617373737373737,0.588484848484848,0.588484848484848,0.593131313131313,0.593131313131313,0.443535353535354,0.443535353535354,0.437979797979798,0.437979797979798,0.497070707070707,0.497070707070707,0.551717171717172,0.582222222222222,NA,NA,NA,0.588181818181818,NA,0.594848484848485,0.606666666666667,0.662222222222222,0.617373737373737,0.617373737373737,0.617373737373737,0.617373737373737,0.617373737373737,0.617373737373737,0.617373737373737
"6",1000,5,2,0,0.1,1.1,3,0.491658291457286,0.491356783919598,0.526532663316583,0.526532663316583,0.506130653266332,0.506130653266332,0.46035175879397,0.46035175879397,0.448743718592965,0.448743718592965,0.476834170854271,0.476834170854271,0.501105527638191,0.518793969849246,NA,NA,NA,0.520402010050251,NA,0.494572864321608,0.523768844221105,0.498994974874372,0.491356783919598,0.491356783919598,0.491356783919598,0.491356783919598,0.491356783919598,0.491356783919598,0.491356783919598
"7",100,10,2,0,0.1,1.1,3,0.521666666666667,0.524444444444444,0.468888888888889,0.468888888888889,0.485,0.485,0.429722222222222,0.429722222222222,0.423055555555556,0.423055555555556,0.401944444444444,0.401944444444444,0.446111111111111,0.4625,NA,NA,NA,0.472777777777778,NA,0.508333333333333,0.454722222222222,0.495555555555556,0.525,0.524444444444444,0.524444444444444,0.524444444444444,0.524444444444444,0.524444444444444,0.524444444444444
"8",500,10,2,0,0.1,1.1,3,0.4375,0.435918367346939,0.431428571428571,0.431428571428571,0.430918367346939,0.430918367346939,0.438367346938776,0.438367346938776,0.441428571428571,0.441428571428571,0.400204081632653,0.400204081632653,0.484336734693878,0.404387755102041,NA,NA,NA,0.43265306122449,NA,0.517142857142857,0.393877551020408,0.443469387755102,0.435816326530612,0.435918367346939,0.435918367346939,0.435918367346939,0.435918367346939,0.435918367346939,0.435918367346939
"9",1000,10,2,0,0.1,1.1,3,0.452929292929293,0.452525252525253,0.46949494949495,0.46949494949495,0.480252525252525,0.480252525252525,0.433282828282828,0.433282828282828,0.478560606060606,0.478560606060606,0.567878787878788,0.567878787878788,0.469520202020202,0.482171717171717,NA,NA,NA,0.455782828282828,NA,0.523585858585859,0.483181818181818,0.500656565656566,0.452525252525253,0.452575757575758,0.452575757575758,0.452575757575758,0.452575757575758,0.452575757575758,0.452575757575758
"10",100,1,5,0,0.1,1.1,3,0.434343434343434,0.44949494949495,0.434343434343434,0.434343434343434,0.434343434343434,0.434343434343434,0.434343434343434,0.434343434343434,0.454545454545455,0.454545454545455,0.47979797979798,0.47979797979798,0.535353535353535,0.457070707070707,0.542929292929293,0.570707070707071,0.46969696969697,0.368686868686869,0.545454545454545,0.409090909090909,0.515151515151515,0.484848484848485,NA,0.525252525252525,0.525252525252525,0.484848484848485,0.484848484848485,0.419191919191919,0.419191919191919
"11",500,1,5,0,0.1,1.1,3,0.630761523046092,0.632264529058116,0.609218436873747,0.609218436873747,0.61122244488978,0.61122244488978,0.506012024048096,0.506012024048096,0.450901803607214,0.450901803607214,0.507014028056112,0.507014028056112,0.658316633266533,0.545090180360721,0.408817635270541,0.507014028056112,0.273547094188377,0.624248496993988,0.35871743486974,0.608216432865731,0.6312625250501,0.633266533066132,NA,0.61122244488978,0.61122244488978,0.630260521042084,0.630260521042084,0.665330661322645,0.665330661322645
"12",1000,1,5,0,0.1,1.1,3,0.745495495495496,0.670670670670671,0.634134134134134,0.634134134134134,0.631631631631632,0.631631631631632,0.473473473473473,0.473473473473473,0.48948948948949,0.48948948948949,0.788288288288288,0.788288288288288,0.647647647647648,0.742242242242242,0.327827827827828,0.278278278278278,0.488988988988989,0.717217217217217,0.602102102102102,0.600600600600601,0.720720720720721,0.757257257257257,NA,0.636136136136136,0.636136136136136,0.673673673673674,0.673673673673674,0.688688688688689,0.688688688688689
"13",100,5,5,0,0.1,1.1,3,0.45,0.430526315789474,0.435789473684211,0.435789473684211,0.437894736842105,0.437894736842105,0.430526315789474,0.430526315789474,0.442105263157895,0.442105263157895,0.356842105263158,0.356842105263158,0.439473684210526,0.469473684210526,0.54,0.498421052631579,0.522105263157895,0.425263157894737,0.510526315789474,0.449473684210526,0.424210526315789,0.433684210526316,NA,0.441052631578947,0.441052631578947,0.430526315789474,0.430526315789474,0.409473684210526,0.409473684210526
"14",500,5,5,0,0.1,1.1,3,0.465959595959596,0.427676767676768,0.410909090909091,0.410909090909091,0.410909090909091,0.410909090909091,0.403636363636364,0.403636363636364,0.436969696969697,0.436969696969697,0.416767676767677,0.416767676767677,0.421414141414141,0.444444444444444,0.474141414141414,0.455353535353535,0.467474747474747,0.421414141414141,0.431313131313131,0.403232323232323,0.443030303030303,0.472323232323232,NA,0.426666666666667,0.426666666666667,0.426060606060606,0.426060606060606,0.432525252525253,0.432525252525253
"15",1000,5,5,0,0.1,1.1,3,0.540804020100502,0.495778894472362,0.476683417085427,0.476683417085427,0.476381909547739,0.476381909547739,0.50894472361809,0.50894472361809,0.503618090452261,0.503618090452261,0.504020100502513,0.504020100502513,0.424020100502513,0.441105527638191,0.471809045226131,0.440804020100503,0.450552763819095,0.472361809045226,0.430150753768844,0.46643216080402,0.425025125628141,0.495879396984925,NA,0.486130653266332,0.486130653266332,0.498592964824121,0.498592964824121,0.434572864321608,0.434572864321608
"16",100,10,5,0,0.1,1.1,3,0.524722222222222,0.486111111111111,0.505,0.505,0.503333333333333,0.503333333333333,0.477222222222222,0.477222222222222,0.464444444444444,0.464444444444444,0.474444444444444,0.474444444444444,0.482222222222222,0.469444444444444,0.502777777777778,0.372222222222222,0.478888888888889,0.502777777777778,0.503888888888889,0.493333333333333,0.493611111111111,0.493611111111111,NA,0.506666666666667,0.506666666666667,0.498333333333333,0.498333333333333,0.513888888888889,0.513888888888889
"17",500,10,5,0,0.1,1.1,3,0.474387755102041,0.490816326530612,0.447551020408163,0.447551020408163,0.449489795918367,0.449489795918367,0.439438775510204,0.439438775510204,0.463877551020408,0.463877551020408,0.444591836734694,0.444591836734694,0.460510204081633,0.452448979591837,0.48,0.448367346938776,0.48234693877551,0.460204081632653,0.450204081632653,0.435510204081633,0.454285714285714,0.461683673469388,NA,0.458775510204082,0.458775510204082,0.470102040816327,0.470102040816327,0.491836734693878,0.491836734693878
"18",1000,10,5,0,0.1,1.1,3,0.509267676767677,0.494242424242424,0.47449494949495,0.47449494949495,0.474292929292929,0.474292929292929,0.472979797979798,0.472979797979798,0.491414141414141,0.491414141414141,0.463888888888889,0.463888888888889,0.472121212121212,0.459949494949495,0.532626262626263,0.417525252525253,0.51020202020202,0.473636363636364,0.468939393939394,0.463232323232323,0.480656565656566,0.497121212121212,NA,0.475252525252525,0.475252525252525,0.486717171717172,0.486717171717172,0.516262626262626,0.516262626262626
"19",100,1,11,0,0.1,1.1,3,0.434343434343434,0.525252525252525,0.474747474747475,0.474747474747475,0.464646464646465,0.464646464646465,0.494949494949495,0.494949494949495,0.570707070707071,0.570707070707071,0.565656565656566,0.565656565656566,0.5,0.565656565656566,0.411616161616162,0.702020202020202,0.404040404040404,0.45959595959596,0.484848484848485,0.494949494949495,0.505050505050505,0.368686868686869,NA,0.404040404040404,0.404040404040404,0.439393939393939,0.439393939393939,0.404040404040404,0.404040404040404
"20",500,1,11,0,0.1,1.1,3,0.599198396793587,0.599198396793587,0.526052104208417,0.526052104208417,0.531062124248497,0.531062124248497,0.429859719438878,0.429859719438878,0.418837675350701,0.418837675350701,0.43186372745491,0.43186372745491,0.580160320641283,0.536072144288577,0.382765531062124,0.264529058116233,0.210420841683367,0.523046092184369,0.221442885771543,0.469939879759519,0.593186372745491,0.591182364729459,NA,0.57815631262525,0.57815631262525,0.579158316633267,0.579158316633267,0.649298597194389,0.649298597194389
"21",1000,1,11,0,0.1,1.1,3,0.517767767767768,0.616616616616617,0.642142142142142,0.642142142142142,0.642142142142142,0.642142142142142,0.762762762762763,0.762762762762763,0.59009009009009,0.59009009009009,0.762762762762763,0.762762762762763,0.686686686686687,0.598098098098098,0.618618618618619,0.581081081081081,0.775275275275275,0.63963963963964,0.725225225225225,0.656656656656657,0.707207207207207,0.494994994994995,NA,0.627127127127127,0.627127127127127,0.614614614614615,0.614614614614615,0.562062062062062,0.562062062062062
"22",100,5,11,0,0.1,1.1,3,0.564736842105263,0.522105263157895,0.506315789473684,0.506315789473684,0.513684210526316,0.513684210526316,0.453684210526316,0.453684210526316,0.492631578947368,0.492631578947368,0.52,0.52,0.497894736842105,0.517894736842105,0.540526315789474,0.493684210526316,0.549473684210526,0.512631578947368,0.528421052631579,0.522105263157895,0.518421052631579,0.52,NA,0.573684210526316,0.573684210526316,0.572631578947368,0.572631578947368,0.574736842105263,0.574736842105263
"23",500,5,11,0,0.1,1.1,3,0.50969696969697,0.587878787878788,0.565656565656566,0.565656565656566,0.566262626262626,0.566262626262626,0.556161616161616,0.556161616161616,0.582222222222222,0.582222222222222,0.561616161616162,0.561616161616162,0.564040404040404,0.540606060606061,0.46989898989899,0.412020202020202,0.575151515151515,0.557777777777778,0.55979797979798,0.544242424242424,0.547878787878788,0.568686868686869,NA,0.553939393939394,0.553939393939394,0.559191919191919,0.559191919191919,0.553939393939394,0.553939393939394
"24",1000,5,11,0,0.1,1.1,3,0.494924623115578,0.503517587939698,0.500904522613065,0.500904522613065,0.498793969849246,0.498793969849246,0.498592964824121,0.498592964824121,0.482713567839196,0.482713567839196,0.498592964824121,0.498592964824121,0.5,0.507638190954774,0.486030150753769,0.522814070351759,0.539497487437186,0.510653266331658,0.500603015075377,0.493266331658291,0.490653266331658,0.514572864321608,NA,0.508542713567839,0.508542713567839,0.504020100502513,0.504020100502513,0.478994974874372,0.478994974874372
"25",100,10,11,0,0.1,1.1,3,0.490833333333333,0.514444444444444,0.524444444444444,0.524444444444444,0.516666666666667,0.516666666666667,0.482222222222222,0.482222222222222,0.507222222222222,0.507222222222222,0.472222222222222,0.472222222222222,0.525555555555556,0.523333333333333,0.521388888888889,0.588611111111111,0.510833333333333,0.521111111111111,0.505,0.511944444444444,0.528611111111111,0.504444444444444,NA,0.542222222222222,0.542222222222222,0.556111111111111,0.556111111111111,0.553333333333333,0.553333333333333
"26",500,10,11,0,0.1,1.1,3,0.43780612244898,0.437448979591837,0.423571428571429,0.423571428571429,0.424897959183673,0.424897959183673,0.42469387755102,0.42469387755102,0.491836734693878,0.491836734693878,0.457142857142857,0.457142857142857,0.418775510204082,0.429387755102041,0.476683673469388,0.530357142857143,0.533571428571429,0.419591836734694,0.48265306122449,0.42765306122449,0.426938775510204,0.418061224489796,NA,0.418061224489796,0.418061224489796,0.433877551020408,0.433877551020408,0.453061224489796,0.453061224489796
"27",1000,10,11,0,0.1,1.1,3,0.500530303030303,0.501464646464646,0.517878787878788,0.517878787878788,0.518636363636364,0.518636363636364,0.508686868686869,0.508686868686869,0.548989898989899,0.548989898989899,0.508686868686869,0.508686868686869,0.512020202020202,0.521919191919192,0.53969696969697,0.469974747474747,0.531212121212121,0.512727272727273,0.561717171717172,0.511313131313131,0.534090909090909,0.508434343434343,NA,0.531111111111111,0.531111111111111,0.516060606060606,0.516060606060606,0.514646464646465,0.514646464646465
"28",100,1,17,0,0.1,1.1,3,0.464646464646465,0.52020202020202,0.515151515151515,0.515151515151515,0.515151515151515,0.515151515151515,0.154040404040404,0.154040404040404,0.570707070707071,0.570707070707071,0.419191919191919,0.419191919191919,0.535353535353535,0.525252525252525,0.585858585858586,0.217171717171717,0.608585858585859,0.51010101010101,0.616161616161616,0.515151515151515,0.515151515151515,0.51010101010101,NA,NA,NA,NA,NA,NA,NA
"29",500,1,17,0,0.1,1.1,3,0.513026052104208,0.433867735470942,0.448897795591182,0.448897795591182,0.44689378757515,0.44689378757515,0.427855711422846,0.427855711422846,0.457915831663327,0.457915831663327,0.474949899799599,0.474949899799599,0.50501002004008,0.415831663326653,0.509018036072144,0.429859719438878,0.782565130260521,0.444889779559118,0.703406813627255,0.413827655310621,0.440881763527054,0.459919839679359,NA,0.507014028056112,0.507014028056112,0.464929859719439,0.464929859719439,0.498997995991984,0.498997995991984
"30",1000,1,17,0,0.1,1.1,3,0.274774774774775,0.363863863863864,0.311311311311311,0.311311311311311,0.310810810810811,0.310810810810811,0.44044044044044,0.44044044044044,0.287287287287287,0.287287287287287,0.233733733733734,0.233733733733734,0.273273273273273,0.24974974974975,0.634134134134134,0.543043043043043,0.725725725725726,0.273273273273273,0.460460460460461,0.340840840840841,0.312312312312312,0.334834834834835,NA,0.249249249249249,0.249249249249249,0.256256256256256,0.256256256256256,0.287787787787788,0.287787787787788
"31",100,5,17,0,0.1,1.1,3,0.523157894736842,0.512631578947368,0.554736842105263,0.554736842105263,0.553684210526316,0.553684210526316,0.408421052631579,0.408421052631579,0.533684210526316,0.533684210526316,0.537894736842105,0.537894736842105,0.568421052631579,0.526315789473684,0.46421052631579,0.448947368421053,0.388421052631579,0.547368421052632,0.474736842105263,0.536842105263158,0.566315789473684,0.535789473684211,NA,NA,NA,NA,NA,NA,NA
"32",500,5,17,0,0.1,1.1,3,0.527171717171717,0.577171717171717,0.552121212121212,0.552121212121212,0.551111111111111,0.551111111111111,0.48,0.48,0.52020202020202,0.52020202020202,0.526868686868687,0.526868686868687,0.556565656565657,0.533737373737374,0.451616161616162,0.511414141414141,0.482020202020202,0.555757575757576,0.510505050505051,0.553939393939394,0.541414141414141,0.534141414141414,NA,0.527474747474747,0.527474747474747,0.525454545454545,0.525454545454545,0.504646464646465,0.504646464646465
"33",1000,5,17,0,0.1,1.1,3,0.530854271356784,0.48964824120603,0.488241206030151,0.488241206030151,0.486834170854271,0.486834170854271,0.543417085427136,0.543417085427136,0.569145728643216,0.569145728643216,0.533969849246231,0.533969849246231,0.486934673366834,0.497386934673367,0.522311557788945,0.524020100502513,0.507035175879397,0.493467336683417,0.567939698492462,0.534070351758794,0.51035175879397,0.482412060301508,NA,0.517085427135678,0.517085427135678,0.494773869346734,0.494773869346734,0.489547738693467,0.489547738693467
"34",100,10,17,0,0.1,1.1,3,0.494166666666667,0.504444444444444,0.515555555555556,0.515555555555556,0.511666666666667,0.511666666666667,0.404722222222222,0.404722222222222,0.553888888888889,0.553888888888889,0.478888888888889,0.478888888888889,0.501666666666667,0.491666666666667,0.526388888888889,0.428888888888889,0.505555555555556,0.531666666666667,0.512222222222222,0.510555555555556,0.513888888888889,0.512777777777778,NA,NA,NA,NA,NA,NA,NA
"35",500,10,17,0,0.1,1.1,3,0.478979591836735,0.486122448979592,0.489081632653061,0.489081632653061,0.488571428571429,0.488571428571429,0.463571428571429,0.463571428571429,0.444030612244898,0.444030612244898,0.476428571428571,0.476428571428571,0.488163265306122,0.498979591836735,0.500816326530612,0.537857142857143,0.487244897959184,0.488367346938775,0.48765306122449,0.491836734693878,0.493367346938775,0.496428571428571,NA,0.476632653061224,0.476632653061224,0.463979591836735,0.463979591836735,0.456020408163265,0.456020408163265
"36",1000,10,17,0,0.1,1.1,3,0.523055555555556,0.478484848484848,0.501111111111111,0.501111111111111,0.501363636363636,0.501363636363636,0.50550505050505,0.50550505050505,0.513383838383838,0.513383838383838,0.501818181818182,0.501818181818182,0.513484848484848,0.50040404040404,0.50520202020202,0.468964646464646,0.513282828282828,0.502272727272727,0.515959595959596,0.489949494949495,0.495757575757576,0.497474747474748,NA,0.519747474747475,0.519747474747475,0.498888888888889,0.498888888888889,0.50020202020202,0.50020202020202
