"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170"
"1",12,5,4,26,1,3,4,6,12,7,3,64,8,11,3,11,3,0,5,1,5,2,1,3,4,3,0,3,166,3,2,4,9,428,44,39,15,21,4,3,6,2,2,3,3,8,6,3,37,0,4,0,7,4,6,129,3,49,5,4,3,4,294,106,56,10,2,14,65,37,3,5,1,908,1,1,0,2,0,0,9,11,1,16,11,0,13,33,4,5,3,1,3,79,1,59,5,3,2,139,10,3,15,3,429,4,5,2,0,25,9,7,1,360,1,3,17,8,2,2,3,5,1,14,3,7,24,28,7,0,1,6,6,3,65,8,10,4,17,4,14,9,15,21,1,1,75,12,30,6,6,3,16,4,2,10,0,1,1,295,5,5,17,4,145,1,3,2,26,9
"2",9,7,4,26,4,5,0,3,9,10,9,51,19,14,4,7,8,1,3,1,3,4,6,6,5,1,1,6,166,3,2,0,22,476,40,38,10,15,5,10,4,2,7,2,3,1,7,0,56,6,1,2,4,3,9,162,0,31,0,3,1,5,318,140,71,12,2,7,58,28,1,2,2,811,3,2,1,6,0,3,5,12,2,29,12,2,11,18,5,2,9,2,1,108,2,67,4,4,4,142,5,3,12,2,416,4,3,3,5,27,3,8,1,346,1,1,9,3,2,5,1,1,2,14,4,6,16,11,9,3,0,1,1,1,50,16,7,4,17,14,7,6,10,23,2,4,58,14,28,4,4,2,22,14,4,12,6,0,10,246,1,4,25,2,179,4,3,3,30,6
"3",5,5,3,24,6,2,4,8,10,6,9,66,13,7,2,2,6,2,5,0,10,2,2,6,2,2,1,4,159,0,0,5,18,423,42,39,15,23,6,8,6,1,1,5,2,9,4,3,53,5,1,1,11,0,6,145,2,45,2,3,4,7,324,127,58,14,1,3,66,34,4,2,4,865,4,2,1,6,3,0,7,20,3,19,14,2,3,28,0,3,2,4,1,98,3,57,11,13,3,121,6,7,9,3,417,4,3,1,4,32,4,11,1,319,5,3,13,6,0,1,3,8,0,7,1,7,21,14,10,0,3,2,10,2,57,5,12,8,18,14,13,7,19,15,0,5,62,8,27,11,8,6,8,10,5,8,4,2,5,294,2,0,16,2,173,0,1,4,31,5
"4",4,7,2,20,1,3,3,12,12,7,8,49,13,11,5,6,3,0,1,0,4,0,4,2,7,3,2,4,153,4,0,3,16,446,51,34,9,10,5,5,4,2,4,0,2,5,3,4,29,4,4,2,3,1,5,152,7,39,2,1,9,4,315,134,60,15,0,3,58,27,0,0,0,866,3,4,0,1,1,2,3,9,2,28,10,2,15,25,2,4,2,1,3,91,1,70,6,7,1,157,2,2,6,5,432,5,6,4,2,35,7,7,0,308,4,6,15,6,2,1,4,0,2,12,0,10,23,25,10,1,2,1,5,2,92,4,5,8,23,5,4,7,9,17,6,2,88,14,31,11,8,4,11,13,1,5,6,1,5,285,2,2,18,2,188,1,1,2,19,5
"5",2,3,3,32,2,0,3,3,5,10,5,59,22,14,1,7,8,2,7,1,8,0,7,5,6,1,0,2,141,0,1,2,30,478,51,36,8,19,1,1,2,0,1,2,2,0,6,1,43,3,1,5,6,1,4,138,5,41,4,2,8,5,318,107,67,18,0,7,70,27,2,6,8,882,4,1,2,3,3,0,13,11,14,20,11,2,14,22,1,3,8,2,0,89,1,45,5,2,6,154,6,3,16,5,396,9,3,2,10,32,3,7,0,301,0,3,9,4,2,1,8,1,2,9,5,8,24,13,7,1,6,0,8,1,62,2,19,1,23,9,11,10,13,30,2,1,72,12,31,4,10,5,15,6,4,13,6,0,9,286,1,1,13,2,159,3,4,9,32,1
"6",5,6,2,35,2,3,5,4,11,5,3,55,10,18,3,13,9,2,1,1,14,2,6,5,12,1,0,6,191,2,2,6,16,419,45,36,4,13,6,6,10,4,2,3,3,7,3,0,37,1,6,1,4,1,6,148,1,22,7,5,1,4,272,87,48,13,4,12,57,34,3,2,2,865,8,2,0,10,5,1,8,16,1,18,10,4,17,17,0,3,9,2,0,99,2,57,10,2,6,138,4,6,11,4,487,4,7,4,1,29,12,17,5,332,0,4,14,3,3,6,1,9,4,15,1,11,25,23,13,0,4,5,8,2,64,4,12,8,8,14,3,21,17,16,1,0,77,9,22,5,10,0,16,6,0,12,5,2,4,264,1,2,20,6,149,0,2,2,36,3
"7",6,2,2,35,0,3,2,0,2,7,4,48,14,14,1,9,11,3,1,1,8,1,9,7,3,2,4,0,184,4,4,3,16,417,45,47,10,18,3,0,2,2,5,2,0,2,5,2,36,2,3,1,13,3,7,131,1,17,3,6,5,4,309,94,50,14,1,1,70,35,0,2,2,904,5,2,6,9,2,1,11,13,5,16,5,2,12,35,1,2,6,2,1,90,2,71,6,2,2,146,5,2,13,4,434,4,0,4,4,36,8,7,0,357,7,0,15,7,1,6,3,6,2,7,1,7,19,23,13,3,3,0,1,2,85,5,9,7,18,9,6,20,16,20,2,2,73,11,39,3,7,2,14,11,2,9,4,1,4,260,1,2,10,5,164,0,3,8,24,1
"8",1,3,0,30,0,0,4,4,7,8,6,48,16,7,1,18,4,2,6,4,7,0,3,0,8,0,3,8,180,0,1,0,20,479,33,45,14,17,10,6,11,1,1,3,0,5,6,5,34,3,1,0,13,3,4,117,5,42,0,7,2,5,263,105,64,10,1,13,67,29,1,0,4,934,3,0,3,5,2,0,3,14,2,10,9,2,8,26,6,6,10,3,2,108,1,56,3,7,3,128,9,4,8,9,385,4,5,3,1,32,11,8,0,367,8,2,16,4,0,9,5,4,2,15,1,10,17,16,12,2,2,2,6,0,102,4,7,4,13,13,5,9,17,26,0,3,79,6,26,7,11,5,17,2,5,11,3,1,3,257,0,2,11,3,149,0,1,0,30,7
"9",12,3,3,30,3,1,4,8,11,11,5,47,15,11,2,12,7,6,7,1,7,2,10,8,11,3,2,4,138,2,2,3,18,423,56,42,16,10,3,5,3,1,9,0,3,5,6,0,47,0,13,2,1,1,4,157,2,27,1,4,9,6,283,135,51,12,1,4,61,32,2,2,3,859,5,3,0,6,0,1,5,22,6,14,9,1,19,26,8,1,6,1,3,91,1,45,4,6,3,163,2,2,7,2,379,6,5,3,9,46,8,3,1,372,5,1,10,1,4,3,4,0,3,13,1,15,27,20,9,1,5,0,3,2,67,1,8,2,18,14,7,19,18,14,2,1,81,11,22,13,9,4,17,9,0,6,3,3,8,285,2,2,9,2,160,3,2,7,31,9
"10",5,4,2,39,0,3,4,2,7,4,2,55,13,17,6,4,9,4,2,1,9,0,12,1,4,0,3,1,147,1,2,2,17,420,40,46,18,19,5,4,8,1,6,1,4,5,6,4,26,2,1,0,19,0,7,152,1,22,4,2,8,6,290,111,55,10,1,6,61,17,0,4,2,846,3,1,1,6,2,2,6,15,1,24,15,2,12,25,0,7,7,3,5,112,0,73,6,4,7,167,3,5,11,7,450,4,2,4,3,41,9,12,1,339,2,0,11,3,1,7,7,4,3,13,3,7,16,20,4,1,5,1,4,0,89,4,10,4,22,13,6,10,9,20,0,1,61,15,27,9,13,5,13,9,2,10,2,1,5,291,4,7,16,8,142,6,1,6,21,7
