"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","OPT_roc_Loo_multi","OPT_roc_Loo","OPT_roc_KNN_log_N_P","OPT_roc_KNN_log_N_P_diff_net","OPT_roc_KNN_5_sqrt_N","OPT_roc_KNN_5_sqrt_N_diff_net","OPT_roc_optics_k_mean","OPT_roc_optics_k_mean_diff_net","OPT_roc_optics_k_5","OPT_roc_optics_k_5_diff_net","OPT_roc_optics_sqrt_n","OPT_roc_optics_sqrt_n_diff_net","OPT_roc_OTS","OPT_roc_OTS_diff_net","OPT_roc_OTS_cosine","OPT_roc_OTS_diff_net_cosine","OPT_roc_OTS_cosine_med","OPT_roc_OTS_euc_med","OPT_roc_OTS_glob_avg_OTS","OPT_roc_spoutlier","OPT_roc_spoutlier_diff_net","OPT_roc_spoutlier_diff_net_norm","OPT_DPCC","OPT_roc_cook_max","OPT_roc_cook_max_diff_net","OPT_roc_cook_avg","OPT_roc_cook_avg_diff_net","OPT_roc_cook_med","OPT_roc_cook_med_diff_net"
"1",100,1,2,0,0.1,1.1,3,0.0325,0.0313068509659313,8.91794873272226,0.0900802902295177,65.08194461504,0.657393379949899,1.1825540118318,1.1825540118318,2.07566519078756,2.07566519078756,1.22692937576558,1.22692937576558,1.77101513445318,0.00901762922903383,NA,NA,NA,1.66566879498669,NA,1.85158207772921,0.00763896460181538,1.54158906210584,3.18645555009963,0.0992560658285233,0.0992560658285232,0.0992560658285233,0.0992560658285232,0.0992560658285233,0.0992560658285232
"2",500,1,2,0,0.1,1.1,3,0.3347,0.000386168459088503,0.110355599106121,0.000221153505222687,3.86815587531989,0.00775181538140259,0.929904894071012,0.92990489407101,0.980865437002201,0.9808654370022,0.986788830869221,0.986788830869221,0.0144176452542471,0.000311254233227346,NA,NA,NA,0.0441441728504097,NA,0.0110803927716455,2.95197606066631e-05,0.0394376794757699,0.192942013513621,7.78443050411509e-05,7.78443050411509e-05,7.78443050411509e-05,7.78443050411509e-05,7.78443050411509e-05,7.78443050411509e-05
"3",1000,1,2,0,0.1,1.1,3,0.4287,6.22571521801951e-05,0.0459875181845115,4.60335517362478e-05,3.1037581378607,0.00310686500286356,1.31866050189233,1.31866050189233,1.17383331986395,1.17383331986395,0.990825065661405,0.990825065661405,0.030372365631013,4.98112193160136e-05,NA,NA,NA,0.0245056767773256,NA,0.0406235596211836,1.14023563738547e-05,0.0400803746313707,0.0625158167345921,5.24173339754546e-06,5.24173339754546e-06,5.24173339754546e-06,5.24173339754546e-06,5.24173339754546e-06,5.24173339754546e-06
"4",100,5,2,0,0.1,1.1,3,0.211,0.00511381138134084,0.454174411663926,0.00458762031983764,6.80797266413244,0.0687674006478025,0.903041921531953,0.903041921531952,1.10643490148279,1.10643490148279,1.23665890337781,1.23665890337781,0.0970349902710071,8.72167843427167e-05,NA,NA,NA,0.0556593756373574,NA,0.0791609299555991,0.000135043034466025,0.0862554355231006,0.507615157570029,0.0021798730081331,0.0021798730081331,0.0021798730081331,0.0021798730081331,0.0021798730081331,0.0021798730081331
"5",500,5,2,0,0.1,1.1,3,0.1827,0.00114612412180286,0.353913340723239,0.000709245171790059,9.7104186521481,0.0194597568179321,0.973030849391127,0.973030849391128,1.20302696482233,1.20302696482233,0.999919043706472,0.999919043706472,0.0307656981608299,0.000540023014819805,NA,NA,NA,0.0566179482057222,NA,0.0426853304944674,0.000104258419316779,0.0951007691703354,0.574688636639499,0.000624998131750492,0.000624998131750491,0.000624998131750492,0.000624998131750491,0.000624998131750492,0.000624998131750491
"6",1000,5,2,0,0.1,1.1,3,0.2762,0.000384878219294869,0.0330509777831556,3.30840618450005e-05,6.6501067803448,0.00665676354388869,1.05816198366151,1.05816198366151,1.51307047561351,1.51307047561351,0.970988004020618,0.970988004020618,0.0705961818978303,2.42232210968217e-05,NA,NA,NA,0.0467039089559375,NA,0.0029483596004835,3.49989400956867e-05,0.118443891731905,0.385849005729297,0.000235876342719027,0.000235876342719026,0.000235876342719027,0.000235876342719026,0.000235876342719027,0.000235876342719026
"7",100,10,2,0,0.1,1.1,3,0.2837,0.00300985661917742,0.230074120201371,0.00232398101213506,2.4255753566889,0.0245007611786758,0.689484818326735,0.689484818326735,1.02297212606366,1.02297212606366,0.888010262467304,0.888010262467304,0.0267345339961262,0.000313020031115809,NA,NA,NA,0.0536896852443778,NA,0.0349362559587826,0.000242769301386905,0.0146895573017318,0.302994503975248,0.00101462347501295,0.00101462347501295,0.00101462347501295,0.00101462347501295,0.00101462347501295,0.00101462347501295
"8",500,10,2,0,0.1,1.1,3,0.3268,0.000471344056719218,0.135564946289763,0.000271673239057642,4.20011963368355,0.00841707341419549,0.97278528758922,0.972785287589222,1.0165831903859,1.0165831903859,0.981058586264475,0.981058586264475,0.179200417156135,7.70802046109672e-05,NA,NA,NA,0.0359015190832495,NA,0.0201699663772851,5.38727115959245e-05,0.0496701001860209,0.237144643483101,0.000178446791793979,0.000178446791793979,0.000178446791793979,0.000178446791793979,0.000178446791793979,0.000178446791793979
"9",1000,10,2,0,0.1,1.1,3,0.26815,0.000328675024576022,0.0477079859128784,4.77557416545329e-05,6.4380105364807,0.00644445499147217,1.04159936484055,1.04159936484055,1.11345186048131,1.11345186048131,0.991546535230617,0.991546535230617,0.067052651751885,6.51553375247138e-06,NA,NA,NA,0.0330766919273533,NA,0.0460009598187948,1.491027595504e-05,0.00532481242478539,0.329552238040006,0.000125636848963078,0.000125636848963078,0.000125636848963078,0.000125636848963078,0.000125636848963078,0.000125636848963078
"10",100,1,5,0,0.1,1.1,3,0.1797,0.0757105373953196,108.097119047669,1.09189009139059,100.19436020052,1.0120642444497,0.980899123356554,0.980899123356554,1.16842015718749,1.16842015718749,1.09532883386722,1.09532883386722,1.97218962877304,0.0179412409789487,0.52345661698662,0.771315619643104,0.766359152781395,1.95907573538768,0.241907665817142,2.24765466381569,0.0248849631742861,2.50035702509582,NA,0.0560246156050388,0.0560246156050388,0.0249077555854042,0.0249077555854042,0.0200036166995502,0.0200036166995502
"11",500,1,5,0,0.1,1.1,3,0.0432,0.0103557275033965,57.497157611099,0.115224764751701,391.939548425799,0.785449996845288,1.27644940647335,1.27644940647335,1.28375147322465,1.28375147322465,1.28137034668375,1.28137034668375,1.8916792511708,0.00358218194391739,0.80069504452855,0.719320495094292,0.807519251389796,2.02289062077107,0.137412830860988,2.11572176744084,0.00287603649378953,1.87574314694266,NA,0.00244059853599744,0.00244059853599744,0.000544609192958216,0.000544609192958217,0.000232617086241734,0.000232617086241734
"12",1000,1,5,0,0.1,1.1,3,0.283,0.00217148343753597,23.8918607047792,0.0239157764812605,354.071991591884,0.354426418009894,1.00884153931358,1.00884153931357,1.10199133968906,1.10199133968906,1.07556548356851,1.07556548356851,0.84664532329026,0.00105213231377157,0.716224328702729,0.860852938491024,0.68383511786015,0.947537039354138,0.270167373796623,0.870428777755773,0.001215562393692,0.909096443804978,NA,0.000116332135098054,0.000116332135098054,2.68241714911663e-05,2.68241714911663e-05,6.06773273137953e-06,6.06773273137953e-06
"13",100,5,5,0,0.1,1.1,3,0.08095,0.039491520322579,54.8313669746505,0.553852191663136,50.6823240509031,0.51194266718084,0.951812672429198,0.951812672429198,1.05022883490501,1.05022883490501,1.17954399224405,1.17954399224405,1.49583641734883,0.010261013228376,0.618882734978158,0.570260083017623,0.656964551511088,1.12328267719836,0.331456933395878,1.91067835132901,0.011831226212788,1.41944412117362,NA,0.012234550473115,0.012234550473115,0.00101069364842666,0.00101069364842666,0.00239071206647464,0.00239071206647464
"14",500,5,5,0,0.1,1.1,3,0.02445,0.012476927156685,56.475963874129,0.113178284316892,375.761615516651,0.753029289612526,1.11957104800868,1.11957104800868,1.14069439610433,1.14069439610433,1.13350990090714,1.13350990090714,2.81937932747543,0.00392744833258909,0.722139024634505,0.49679873808067,0.739610322406329,1.93804806927179,0.200613117266693,2.72265373966313,0.00346948430009014,1.83930462891445,NA,0.00219787254420413,0.00219787254420412,0.000425149956723477,0.000425149956723476,5.85664692876586e-05,5.85664692876587e-05
"15",1000,5,5,0,0.1,1.1,3,0.23385,0.00267355739012802,25.6372222168194,0.0256628851019213,371.351466287135,0.371723189476611,0.962537753756954,0.962537753756954,1.05012810761075,1.05012810761075,1.09611269588655,1.09611269588655,0.819982544896864,0.000864313367572917,0.693955231655167,0.675205904026165,0.663349672388668,0.999678522354511,0.180512475905257,1.06194036573836,0.00100007297312422,0.582956137871544,NA,7.02905080131047e-05,7.02905080131047e-05,2.77029689361471e-05,2.77029689361471e-05,2.12480204628547e-05,2.12480204628547e-05
"16",100,10,5,0,0.1,1.1,3,0.2646,0.0290742169567836,118.828770279034,1.20029060887913,121.117994543983,1.22341408630286,1.12987182623027,1.12987182623027,1.19046423476914,1.19046423476914,1.35648397780584,1.35648397780584,1.50621628866896,0.0269989118929957,0.598796026740529,0.670843130642224,0.672542422486623,1.61815057019095,0.222650757781135,2.58634131305109,0.0269538279183275,2.14523720689121,NA,0.156240381784153,0.156240381784153,0.0570301764833388,0.0570301764833388,0.0221788471078591,0.0221788471078591
