"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",10,6,21,4,56,16,2,4573,98,21,5,89,25,32,2,5,4,5,8,18
"2",14,15,36,4,80,10,13,4570,75,5,6,59,21,27,2,5,6,22,7,23
"3",3,8,24,2,73,9,8,4595,71,18,2,73,34,33,4,9,2,9,9,14
"4",5,8,15,12,79,24,6,4554,70,26,3,74,28,32,10,8,5,13,4,24
"5",2,6,17,7,94,22,6,4581,67,16,6,85,13,19,7,4,4,15,11,18
"6",9,8,27,7,65,23,13,4580,58,18,2,80,32,28,6,5,5,14,8,12
"7",3,10,25,3,64,27,8,4576,65,22,9,81,28,31,4,8,0,5,10,21
"8",4,3,29,3,59,6,1,4587,78,31,5,74,21,35,12,7,11,5,9,20
"9",4,2,34,11,65,14,19,4565,102,27,5,44,15,31,7,6,11,7,10,21
"10",5,11,21,2,73,32,1,4606,67,29,1,62,28,14,4,6,15,9,3,11
"11",1,3,24,4,53,17,3,4639,65,21,5,59,38,21,8,7,5,8,4,15
"12",6,6,56,7,66,12,4,4585,71,27,4,65,14,25,7,10,3,12,2,18
"13",8,7,30,13,53,11,9,4610,67,12,3,54,39,28,13,6,4,15,8,10
"14",1,5,23,5,52,9,5,4649,88,21,11,52,26,19,11,4,4,3,4,8
"15",2,4,21,14,76,18,4,4628,62,12,0,59,30,30,10,0,5,9,1,15
"16",5,4,19,10,68,13,3,4569,67,27,6,65,42,40,3,9,1,23,6,20
"17",1,6,21,8,79,11,10,4595,77,24,11,54,20,21,5,8,12,18,6,13
"18",4,5,33,5,62,6,5,4598,80,20,4,63,26,29,8,5,8,10,13,16
"19",7,8,12,0,58,14,13,4633,61,10,3,69,36,37,6,1,4,5,11,12
"20",7,4,24,2,71,17,8,4570,82,14,8,57,51,34,7,1,9,8,11,15
"21",3,7,22,5,75,25,3,4577,94,14,8,46,35,24,2,6,6,11,21,16
"22",5,2,25,3,66,9,2,4585,66,27,13,72,39,27,10,10,3,9,6,21
"23",8,1,26,8,71,11,3,4618,75,23,9,56,29,21,7,4,2,10,2,16
"24",4,1,22,7,63,16,7,4609,84,25,5,49,19,42,1,2,2,15,9,18
"25",4,13,23,4,67,15,7,4573,82,30,8,56,7,50,4,0,10,11,13,23
"26",5,19,35,6,85,9,2,4569,70,21,8,53,19,39,11,2,11,10,11,15
"27",7,9,23,8,67,16,11,4568,79,18,14,58,26,45,10,3,5,13,7,13
"28",9,3,25,7,81,25,3,4581,77,18,8,53,33,26,6,8,3,8,13,13
"29",9,12,15,2,68,9,14,4614,78,22,2,64,22,26,6,3,6,11,5,12
"30",5,6,31,6,59,13,4,4615,54,22,9,71,29,17,10,6,3,9,9,22
"31",3,6,24,10,59,7,5,4632,61,17,4,52,25,18,13,9,5,16,16,18
"32",13,3,33,7,63,14,8,4602,65,19,5,68,25,24,9,1,8,3,12,18
"33",2,2,19,6,72,7,3,4644,58,18,8,66,36,16,3,3,2,11,4,20
"34",13,9,18,7,54,7,8,4624,60,25,7,38,34,33,1,1,7,17,12,25
"35",8,11,32,13,72,27,12,4548,77,24,5,56,23,32,4,8,12,9,6,21
"36",7,16,40,5,85,10,4,4569,69,22,2,57,27,34,10,5,13,5,5,15
"37",10,6,20,7,66,6,8,4560,86,22,7,75,22,29,10,8,4,18,10,26
"38",6,12,26,5,60,15,13,4646,50,7,8,52,21,17,7,2,8,15,6,24
"39",9,5,26,8,63,25,6,4611,61,19,4,42,29,43,11,3,4,16,11,4
"40",3,3,31,6,77,27,10,4554,88,17,6,51,34,27,5,3,14,13,10,21
"41",3,13,31,8,51,31,3,4573,75,33,12,57,40,29,3,8,2,4,5,19
"42",5,9,22,3,62,20,7,4558,107,21,5,49,40,24,5,8,4,17,10,24
