"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)"
"1",100,1,2,0,0.1,1.1,3,0.717171717171717,0.717171717171717,0.797979797979798,0.797979797979798,0.777777777777778,0.777777777777778,0.595959595959596,0.595959595959596,0.383838383838384,0.383838383838384,0.702020202020202,0.702020202020202,0.767676767676768,0.686868686868687,NA,NA,NA,0.696969696969697,NA,0.808080808080808,0.797979797979798,0.656565656565657,0.717171717171717,0.717171717171717,0.717171717171717,0.717171717171717,0.717171717171717,0.717171717171717,0.717171717171717
"2",500,1,2,0,0.1,1.1,3,0.675350701402806,0.675350701402806,0.671342685370741,0.671342685370741,0.733466933867735,0.733466933867735,0.719438877755511,0.719438877755511,0.729458917835671,0.729458917835671,0.56312625250501,0.56312625250501,0.585170340681363,0.416833667334669,NA,NA,NA,0.519038076152305,NA,0.418837675350701,0.645290581162325,0.683366733466934,0.675350701402806,0.675350701402806,0.675350701402806,0.675350701402806,0.675350701402806,0.675350701402806,0.675350701402806
"3",1000,1,2,0,0.1,1.1,3,0.517517517517518,0.509509509509509,0.610610610610611,0.610610610610611,0.461461461461461,0.461461461461461,0.463463463463463,0.463463463463463,0.285285285285285,0.285285285285285,0.0930930930930931,0.0930930930930931,0.748748748748749,0.658658658658659,NA,NA,NA,0.395395395395395,NA,0.510510510510511,0.405405405405405,0.640640640640641,0.509509509509509,0.510510510510511,0.510510510510511,0.510510510510511,0.510510510510511,0.510510510510511,0.510510510510511
"4",100,5,2,0,0.1,1.1,3,0.631578947368421,0.633684210526316,0.612631578947368,0.612631578947368,0.648421052631579,0.648421052631579,0.462105263157895,0.462105263157895,0.412631578947368,0.412631578947368,0.364210526315789,0.364210526315789,0.564210526315789,0.583157894736842,NA,NA,NA,0.561052631578947,NA,0.458947368421053,0.591578947368421,0.581052631578947,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
"5",500,5,2,0,0.1,1.1,3,0.407474747474747,0.407676767676768,0.374949494949495,0.374949494949495,0.360808080808081,0.360808080808081,0.537373737373737,0.537373737373737,0.504646464646465,0.504646464646465,0.368888888888889,0.368888888888889,0.467878787878788,0.341010101010101,NA,NA,NA,0.393939393939394,NA,0.514747474747475,0.288282828282828,0.39030303030303,0.407676767676768,0.408080808080808,0.408080808080808,0.408080808080808,0.408080808080808,0.408080808080808,0.408080808080808
"6",1000,5,2,0,0.1,1.1,3,0.377788944723618,0.379698492462312,0.346733668341709,0.346733668341709,0.368643216080402,0.368643216080402,0.406030150753769,0.406030150753769,0.395778894472362,0.395778894472362,0.362713567839196,0.362713567839196,0.388140703517588,0.45608040201005,NA,NA,NA,0.349849246231156,NA,0.401407035175879,0.442211055276382,0.393668341708543,0.379698492462312,0.379497487437186,0.379497487437186,0.379497487437186,0.379497487437186,0.379497487437186,0.379497487437186
"7",100,10,2,0,0.1,1.1,3,0.557777777777778,0.561111111111111,0.467777777777778,0.467777777777778,0.484444444444444,0.484444444444444,0.485,0.485,0.375555555555556,0.375555555555556,0.425555555555556,0.425555555555556,0.562777777777778,0.482222222222222,NA,NA,NA,0.517777777777778,NA,0.519444444444444,0.485,0.486666666666667,0.558888888888889,0.561111111111111,0.561111111111111,0.561111111111111,0.561111111111111,0.561111111111111,0.561111111111111
"8",500,10,2,0,0.1,1.1,3,0.593367346938775,0.593469387755102,0.562244897959184,0.562244897959184,0.568571428571429,0.568571428571429,0.497142857142857,0.497142857142857,0.36530612244898,0.36530612244898,0.391224489795918,0.391224489795918,0.537959183673469,0.524897959183673,NA,NA,NA,0.536224489795918,NA,0.518775510204082,0.42265306122449,0.547448979591837,0.593469387755102,0.593469387755102,0.593469387755102,0.593469387755102,0.593469387755102,0.593469387755102,0.593469387755102
"9",1000,10,2,0,0.1,1.1,3,0.54530303030303,0.544343434343434,0.524444444444444,0.524444444444444,0.546969696969697,0.546969696969697,0.41050505050505,0.41050505050505,0.477676767676768,0.477676767676768,0.472020202020202,0.472020202020202,0.538585858585859,0.521616161616162,NA,NA,NA,0.50969696969697,NA,0.502121212121212,0.504242424242424,0.50020202020202,0.544343434343434,0.544444444444444,0.544444444444444,0.544444444444444,0.544444444444444,0.544444444444444,0.544444444444444
"10",100,1,5,0,0.1,1.1,3,0.636363636363636,0.616161616161616,0.585858585858586,0.585858585858586,0.585858585858586,0.585858585858586,0.636363636363636,0.636363636363636,0.717171717171717,0.717171717171717,0.565656565656566,0.565656565656566,0.393939393939394,0.353535353535354,0.424242424242424,0.797979797979798,0.383838383838384,0.616161616161616,0.454545454545455,0.308080808080808,0.404040404040404,0.656565656565657,NA,0.464646464646465,0.464646464646465,0.424242424242424,0.424242424242424,0.454545454545455,0.454545454545455
