"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",364,40,152,161,192,209,283,138,200,174,247,440,456,383,251,117,398,267,214,314
"2",224,339,126,193,42,158,191,294,136,312,324,464,218,161,66,285,792,109,329,237
"3",159,180,240,208,294,48,176,482,301,176,208,626,107,427,464,104,285,299,151,65
"4",240,221,323,256,104,543,232,144,188,131,317,309,236,388,276,29,386,319,279,79
"5",164,122,69,133,117,250,169,207,255,130,362,472,368,157,583,165,410,278,84,505
"6",392,256,162,69,125,167,84,125,257,330,117,605,350,152,343,178,401,570,84,233
"7",199,48,146,149,99,120,243,269,83,163,392,751,313,346,145,568,365,282,241,78
"8",262,228,598,279,248,57,92,206,220,138,352,249,469,364,289,146,394,263,48,98
"9",405,277,156,124,178,354,120,428,47,50,182,734,280,304,255,356,270,198,109,173
"10",307,161,112,288,64,144,133,342,338,330,310,468,284,204,229,223,370,123,450,120
"11",248,193,236,52,192,110,194,197,219,318,566,586,397,282,153,142,414,223,112,166
"12",262,149,159,154,141,277,95,362,183,143,156,372,304,453,320,74,649,417,231,99
"13",118,219,186,227,282,260,82,110,52,326,436,488,391,228,337,140,461,277,200,180
"14",151,72,100,127,386,74,241,325,260,157,612,428,103,455,488,211,336,191,156,127
"15",111,393,108,73,464,214,562,238,71,122,193,324,216,450,226,236,386,185,297,131
"16",235,82,251,272,231,534,255,157,154,91,107,741,208,511,169,69,337,327,160,109
"17",260,340,152,245,36,380,89,627,268,169,627,273,278,294,127,209,349,117,125,35
"18",315,124,333,330,171,76,276,244,193,151,136,407,354,458,63,242,384,422,121,200
"19",519,111,150,390,173,83,143,124,168,158,206,440,437,333,41,303,584,304,164,169
"20",207,227,208,196,59,176,91,333,293,66,616,429,81,372,211,157,495,291,156,336
"21",354,324,272,198,194,79,224,213,231,107,200,521,316,398,237,359,429,218,83,43
"22",103,524,267,94,401,244,190,263,229,382,165,165,398,212,339,291,271,119,173,170
"23",259,126,83,293,261,395,102,114,231,379,317,510,368,374,83,119,384,347,199,56
"24",336,172,143,364,141,218,576,103,126,280,95,535,227,422,362,135,258,181,295,31
"25",221,406,168,161,237,387,279,239,108,38,79,508,229,227,565,136,418,185,196,213
"26",266,121,180,79,324,208,289,152,206,364,411,298,224,632,263,92,529,78,161,123
"27",86,260,144,203,260,343,282,97,158,37,333,619,188,222,233,306,684,68,205,272
"28",414,273,210,113,223,375,159,325,283,149,289,418,115,509,72,215,346,178,107,227
