"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","roc_cook_avg_diff_net_high","roc_cook_avg_diff_net_low","roc_cook_avg_high","roc_cook_avg_low","roc_cook_max_diff_net_high","roc_cook_max_diff_net_low","roc_cook_max_high","roc_cook_max_low","roc_cook_med_diff_net_high","roc_cook_med_diff_net_low","roc_cook_med_high","roc_cook_med_low","roc_DPCC_high","roc_DPCC_low","roc_KNN_5_sqrt_N_diff_net_high","roc_KNN_5_sqrt_N_diff_net_low","roc_KNN_5_sqrt_N_high","roc_KNN_5_sqrt_N_low","roc_KNN_log_N_P_diff_net_high","roc_KNN_log_N_P_diff_net_low","roc_KNN_log_N_P_high","roc_KNN_log_N_P_low","roc_Loo_high","roc_Loo_low","roc_Loo_multi_high","roc_Loo_multi_low","roc_optics_k_5_diff_net_high","roc_optics_k_5_diff_net_low","roc_optics_k_5_high","roc_optics_k_5_low","roc_optics_k_mean_diff_net_high","roc_optics_k_mean_diff_net_low","roc_optics_k_mean_high","roc_optics_k_mean_low","roc_optics_sqrt_n_diff_net_high","roc_optics_sqrt_n_diff_net_low","roc_optics_sqrt_n_high","roc_optics_sqrt_n_low","roc_OTS_cosine_high","roc_OTS_cosine_low","roc_OTS_cosine_med_high","roc_OTS_cosine_med_low","roc_OTS_diff_net_cosine_high","roc_OTS_diff_net_cosine_low","roc_OTS_diff_net_high","roc_OTS_diff_net_low","roc_OTS_euc_med_high","roc_OTS_euc_med_low","roc_OTS_glob_avg_OTS_high","roc_OTS_glob_avg_OTS_low","roc_OTS_high","roc_OTS_low","roc_spoutlier_diff_net_high","roc_spoutlier_diff_net_low","roc_spoutlier_diff_net_norm_high","roc_spoutlier_diff_net_norm_low","roc_spoutlier_high","roc_spoutlier_low"
"1",100,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",500,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1000,1,2,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",100,5,2,0,0.1,1.1,3,0.214055357823552,0.596470957965922,0.212166808351005,0.596254244280574,0.308199230838775,0.683132836380163,0.308199230838775,0.683132836380163,0.281181557870378,0.640602878366502,0.281181557870378,0.640602878366502,0.267136945790599,0.80621238529015,0.267136945790599,0.80621238529015,0.296890395324637,0.819358755806486,0.296890395324637,0.819358755806486,0.155073649645358,0.724553606540052,0.155073649645358,0.724553606540052,0.164395349583458,0.6924467556797,0.268623133961529,0.709793048149654,NA,NA,NA,NA,NA,NA,0.290543791804038,0.709099326818249,NA,NA,0.189125310727621,0.64921999052201,0.315380545204481,0.715559050146035,0.224502362672475,0.654157548529436,0.212166808351005,0.596254244280574,0.212166808351005,0.596254244280574,0.212166808351005,0.596254244280574,0.212166808351005,0.596254244280574,0.212166808351005,0.596254244280574,0.212166808351005,0.596254244280574,0.212166808351005,0.596254244280574
"5",500,5,2,0,0.1,1.1,3,0.190333316606934,0.702241816885921,0.185059982248263,0.702554376134978,0.132472160675871,0.719062036166611,0.132472160675871,0.719062036166611,0.161822101739956,0.701560826381,0.161822101739956,0.701560826381,0.216543436158948,0.599417835597922,0.216543436158948,0.599417835597922,0.156431467931135,0.636093784594117,0.156431467931135,0.636093784594117,0.100895417510945,0.708599531984004,0.100895417510945,0.708599531984004,0.229868472490666,0.775547440774858,0.298561337698657,0.781833022104605,NA,NA,NA,NA,NA,NA,0.250273752082182,0.755691062648659,NA,NA,0.214510131703367,0.680621505200247,0.155047780792499,0.665158279355329,0.204617522594961,0.69467941353764,0.185059982248263,0.702554376134978,0.184300940295038,0.702505337280122,0.184300940295038,0.702505337280122,0.184300940295038,0.702505337280122,0.184300940295038,0.702505337280122,0.184300940295038,0.702505337280122,0.184300940295038,0.702505337280122
"6",1000,5,2,0,0.1,1.1,3,0.316206179289555,0.844947247382705,0.315780138571228,0.844822876504149,0.234587349178943,0.825744918648779,0.234587349178943,0.825744918648779,0.292868445449149,0.853865222892559,0.292868445449149,0.853865222892559,0.164550868044198,0.573692294508489,0.164550868044198,0.573692294508489,0.237557475372309,0.639711536299304,0.237557475372309,0.639711536299304,0.235508785658933,0.755144480672725,0.235508785658933,0.755144480672725,0.271499263078175,0.772348099517733,0.23446837407945,0.760588684100581,NA,NA,NA,NA,NA,NA,0.340119811392176,0.847809443989143,NA,NA,0.330585627261883,0.768759796582018,0.345757698900774,0.862684512154502,0.285364436976531,0.954803668642803,0.315780138571228,0.844822876504149,0.315780138571228,0.844822876504149,0.315780138571228,0.844822876504149,0.315780138571228,0.844822876504149,0.315780138571228,0.844822876504149,0.315780138571228,0.844822876504149,0.315780138571228,0.844822876504149
"7",100,10,2,0,0.1,1.1,3,0.339977422281841,0.704637643545397,0.334799027501172,0.704089861387717,0.321064080941685,0.697269252391648,0.321064080941685,0.697269252391648,0.310792125030485,0.694900903051878,0.310792125030485,0.694900903051878,0.371293728570352,0.778133523085898,0.371293728570352,0.778133523085898,0.274268160923945,0.640722997374749,0.274268160923945,0.640722997374749,0.244155607802183,0.668622169975595,0.244155607802183,0.668622169975595,0.311634822733964,0.682294904619526,0.287919802227892,0.642635753327664,NA,NA,NA,NA,NA,NA,0.337199460164126,0.743911650946985,NA,NA,0.332551646971628,0.700781686361705,0.30839353298873,0.697717578122382,0.333144304341222,0.712060121663717,0.334799027501172,0.704089861387717,0.335725861804642,0.703163027084247,0.335725861804642,0.703163027084247,0.335725861804642,0.703163027084247,0.335725861804642,0.703163027084247,0.335725861804642,0.703163027084247,0.335725861804642,0.703163027084247
"8",500,10,2,0,0.1,1.1,3,0.327055318818844,0.743352844446462,0.327570793698729,0.743653696097189,0.331235881618834,0.719376363279125,0.331235881618834,0.719376363279125,0.331845226216496,0.742440488069219,0.331845226216496,0.742440488069219,0.244960910678705,0.641900727518432,0.244960910678705,0.641900727518432,0.316595912348645,0.603809748038514,0.316595912348645,0.603809748038514,0.292333543067169,0.655614429382915,0.292333543067169,0.655614429382915,0.352476278874409,0.785802480354874,0.318148011268299,0.736360209444123,NA,NA,NA,NA,NA,NA,0.333417262287719,0.727401767636852,NA,NA,0.323667534762656,0.746944710135303,0.373556585133295,0.757314746617825,0.358246917291232,0.748589817402646,0.327570793698729,0.743653696097189,0.327570793698729,0.743653696097189,0.327570793698729,0.743653696097189,0.327570793698729,0.743653696097189,0.327570793698729,0.743653696097189,0.327570793698729,0.743653696097189,0.327570793698729,0.743653696097189
"9",1000,10,2,0,0.1,1.1,3,0.225840502405017,0.634485702072115,0.225687982266817,0.63485606982777,0.259826795045742,0.625766576860434,0.259826795045742,0.625766576860434,0.22238133693843,0.623163453928617,0.22238133693843,0.623163453928617,0.194824991571503,0.634013392266881,0.194824991571503,0.634013392266881,0.20629723993269,0.641076497441047,0.20629723993269,0.641076497441047,0.242461493802204,0.591631357280587,0.242461493802204,0.591631357280587,0.273715360449971,0.654323285188904,0.214852807430746,0.610399717821779,NA,NA,NA,NA,NA,NA,0.253154067932498,0.641199612160955,NA,NA,0.333872698616757,0.700975120617598,0.241505858499716,0.586271919278062,0.238617547974751,0.64432319258251,0.225687982266817,0.63485606982777,0.225687982266817,0.634780191293779,0.225687982266817,0.634780191293779,0.225687982266817,0.634780191293779,0.225687982266817,0.634780191293779,0.225687982266817,0.634780191293779,0.225687982266817,0.634780191293779
"10",100,1,5,0,0.1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
