"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110"
"1",329,12,5,4,3,62,15,213,3,198,9,10,13,73,6,106,2,67,4,11,110,13,8,9,10,18,3,40,15,8,22,6,87,770,98,0,93,15,2,8,29,18,13,7,9,7,9,12,13,168,6,55,27,144,35,15,4,2,242,6,6,11,44,206,9,2,9,11,34,28,9,7,4,24,3,1,397,5,15,6,20,5,39,12,4,11,8,2,139,5,7,6,9,26,48,14,8,356,14,2,9,27,5,3,15,3,8,34,1,28
"2",297,28,23,2,0,56,21,194,1,251,19,10,24,98,3,93,5,61,1,16,100,13,4,3,1,24,6,36,8,7,11,7,110,787,80,3,61,8,1,3,31,7,10,11,8,10,6,7,7,174,13,72,42,178,13,2,5,7,185,7,7,5,48,234,16,1,7,10,29,37,7,6,3,32,6,1,434,1,6,11,9,1,42,10,3,12,6,2,138,6,1,3,4,11,40,13,16,359,9,4,1,27,5,4,30,2,29,24,3,14
"3",347,19,17,2,1,63,29,216,3,188,7,7,21,69,1,75,3,54,5,17,124,4,7,1,4,16,2,24,10,11,16,3,88,743,102,4,73,10,2,2,31,9,18,8,1,10,3,7,1,211,11,73,28,218,26,5,6,2,188,1,5,4,49,187,10,2,5,12,26,20,14,1,6,44,5,4,458,6,3,12,18,1,28,18,7,7,9,9,117,1,7,3,10,11,46,33,9,352,12,2,7,65,8,2,27,2,18,22,4,25
"4",334,8,13,7,2,40,22,175,4,186,7,3,17,92,7,77,3,53,9,16,125,3,5,6,4,5,1,30,20,9,22,16,90,815,128,3,58,5,1,4,20,20,21,10,4,3,12,17,7,180,4,58,29,199,18,4,3,7,189,3,18,6,44,241,16,3,14,5,27,28,4,6,4,29,3,5,415,3,12,6,16,6,32,5,3,6,8,2,129,6,8,3,12,13,56,11,2,356,12,15,8,54,7,5,21,7,13,26,12,24
"5",278,31,18,4,1,54,12,207,1,250,14,4,15,74,9,85,2,48,9,19,119,9,7,8,3,10,4,42,7,15,40,3,76,775,80,3,48,5,6,6,34,25,18,7,2,0,9,13,6,167,6,44,23,169,18,3,4,7,226,2,22,6,51,281,2,10,11,7,35,25,10,9,3,25,10,8,395,4,6,5,10,2,50,14,6,9,5,3,135,10,9,3,8,16,41,13,7,359,27,6,9,37,23,9,18,5,19,20,2,16
"6",330,18,17,0,2,44,7,173,6,242,11,4,29,64,6,92,2,49,0,11,106,5,2,4,9,15,0,32,4,15,17,7,93,812,112,1,85,5,1,9,22,7,27,14,9,3,11,17,6,158,2,61,27,195,30,3,8,8,208,3,12,5,60,205,3,8,4,11,17,31,10,3,9,28,9,5,411,5,11,8,15,3,46,9,3,10,9,7,121,3,6,8,5,11,49,10,7,373,12,4,4,65,10,7,10,0,36,12,9,21
"7",320,14,14,12,3,59,15,206,1,236,12,2,23,96,7,110,1,64,13,19,103,10,3,8,3,12,6,26,13,4,23,5,98,755,84,4,76,12,2,11,40,12,18,8,3,14,7,4,5,190,3,62,29,208,19,7,6,3,191,1,6,0,28,218,6,3,11,12,26,26,6,2,3,31,6,5,428,11,15,9,9,1,36,18,2,16,6,1,123,8,0,12,5,24,42,24,11,314,24,4,6,40,5,10,14,6,17,24,8,23
"8",301,49,14,5,8,34,19,248,3,228,8,9,20,68,0,86,4,55,3,20,127,11,4,1,3,8,3,52,19,16,23,16,87,766,99,6,89,5,3,5,39,12,8,2,3,4,0,14,2,161,10,64,24,191,21,10,11,1,152,6,7,3,46,250,3,3,6,8,35,27,11,3,6,43,14,5,426,3,8,13,14,2,45,6,5,8,3,0,164,2,5,2,4,20,62,11,13,293,30,5,6,34,2,12,14,5,12,14,6,21
"9",320,15,20,9,4,49,18,227,1,255,15,13,12,58,4,93,1,47,5,13,107,13,21,4,3,10,4,32,13,21,21,0,117,750,88,8,60,11,6,8,27,21,9,16,6,4,1,14,3,195,17,54,33,208,20,3,6,4,192,0,2,6,49,236,1,1,6,12,25,19,11,0,16,29,6,2,393,13,9,9,12,0,30,16,5,12,16,8,123,4,3,6,6,14,32,15,8,361,23,6,3,44,5,5,21,3,22,24,9,10
"10",335,19,6,6,1,47,6,192,3,218,16,4,10,64,4,87,5,72,1,14,116,7,2,13,2,16,5,33,10,4,37,15,79,729,112,1,86,3,3,9,16,12,19,10,5,8,6,7,3,174,11,64,28,230,18,10,5,2,207,3,7,7,54,192,6,9,10,5,19,26,11,2,3,42,12,7,405,1,10,9,19,2,53,14,5,12,4,0,126,9,0,8,6,24,45,27,10,363,27,4,3,52,10,3,14,9,7,33,5,39
