"","n","m","dim","type_of_pareto_data","perc_increase","mult","intensity_parameter","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)"
"1",100,1,2,0,0.1,1.1,3,0.505050505050505,0.494949494949495,0.494949494949495,0.494949494949495,0.48989898989899,0.48989898989899,0.517676767676768,0.517676767676768,0.345959595959596,0.345959595959596,0.439393939393939,0.439393939393939,0.464646464646465,0.477272727272727,NA,NA,NA,0.474747474747475,NA,0.505050505050505,0.452020202020202,0.441919191919192,0.494949494949495,0.5,0.5,0.5,0.5,0.5,0.5
"2",500,1,2,0,0.1,1.1,3,0.470941883767535,0.465931863727455,0.435871743486974,0.435871743486974,0.44188376753507,0.44188376753507,0.32064128256513,0.32064128256513,0.349699398797595,0.349699398797595,0.470941883767535,0.470941883767535,0.460921843687375,0.458917835671343,NA,NA,NA,0.439879759519038,NA,0.434869739478958,0.413326653306613,0.490981963927856,0.465931863727455,0.464929859719439,0.464929859719439,0.464929859719439,0.464929859719439,0.464929859719439,0.464929859719439
"3",1000,1,2,0,0.1,1.1,3,0.49974974974975,0.498998998998999,0.486986986986987,0.486986986986987,0.483483483483483,0.483483483483483,0.443443443443443,0.443443443443443,0.376876876876877,0.376876876876877,0.493493493493493,0.493493493493493,0.504004004004004,0.548048048048048,NA,NA,NA,0.444944944944945,NA,0.515515515515516,0.524024024024024,0.462462462462462,0.498998998998999,0.498998998998999,0.498998998998999,0.498998998998999,0.498998998998999,0.498998998998999,0.498998998998999
"4",100,5,2,0,0.1,1.1,3,0.514210526315789,0.515789473684211,0.521052631578947,0.521052631578947,0.513684210526316,0.513684210526316,0.467368421052632,0.467368421052632,0.453684210526316,0.453684210526316,0.474210526315789,0.474210526315789,0.526315789473684,0.522105263157895,NA,NA,NA,0.507368421052632,NA,0.494736842105263,0.524736842105263,0.521578947368421,0.515789473684211,0.517894736842105,0.517894736842105,0.517894736842105,0.517894736842105,0.517894736842105,0.517894736842105
"5",500,5,2,0,0.1,1.1,3,0.511010101010101,0.511111111111111,0.525252525252525,0.525252525252525,0.513737373737374,0.513737373737374,0.425858585858586,0.425858585858586,0.413535353535354,0.413535353535354,0.453939393939394,0.453939393939394,0.504848484848485,0.519292929292929,NA,NA,NA,0.508686868686869,NA,0.508888888888889,0.511515151515151,0.497171717171717,0.511111111111111,0.511313131313131,0.511313131313131,0.511313131313131,0.511313131313131,0.511313131313131,0.511313131313131
"6",1000,5,2,0,0.1,1.1,3,0.498442211055276,0.497788944723618,0.500100502512563,0.500100502512563,0.499095477386935,0.499095477386935,0.418090452261307,0.418090452261307,0.430402010050251,0.430402010050251,0.455577889447236,0.455577889447236,0.486030150753769,0.497386934673367,NA,NA,NA,0.493467336683417,NA,0.501155778894472,0.522914572864322,0.484522613065327,0.497788944723618,0.497889447236181,0.497889447236181,0.497889447236181,0.497889447236181,0.497889447236181,0.497889447236181
"7",100,10,2,0,0.1,1.1,3,0.485,0.485555555555556,0.480555555555556,0.480555555555556,0.477222222222222,0.477222222222222,0.482222222222222,0.482222222222222,0.4375,0.4375,0.446111111111111,0.446111111111111,0.480555555555556,0.486388888888889,NA,NA,NA,0.495277777777778,NA,0.497222222222222,0.481111111111111,0.490277777777778,0.485555555555556,0.484444444444444,0.484444444444444,0.484444444444444,0.484444444444444,0.484444444444444,0.484444444444444
"8",500,10,2,0,0.1,1.1,3,0.498724489795918,0.500102040816327,0.49765306122449,0.49765306122449,0.49469387755102,0.49469387755102,0.446224489795918,0.446224489795918,0.417397959183674,0.417397959183674,0.449132653061225,0.449132653061225,0.502602040816327,0.50265306122449,NA,NA,NA,0.491020408163265,NA,0.501632653061225,0.480612244897959,0.491734693877551,0.500102040816327,0.50030612244898,0.50030612244898,0.50030612244898,0.50030612244898,0.50030612244898,0.50030612244898
"9",1000,10,2,0,0.1,1.1,3,0.504065656565657,0.504242424242424,0.511464646464646,0.511464646464646,0.513080808080808,0.513080808080808,0.437727272727273,0.437727272727273,0.426388888888889,0.426388888888889,0.459747474747475,0.459747474747475,0.497424242424242,0.492777777777778,NA,NA,NA,0.507146464646465,NA,0.509747474747475,0.517575757575758,0.50979797979798,0.504191919191919,0.504242424242424,0.504242424242424,0.504242424242424,0.504242424242424,0.504242424242424,0.504242424242424
"10",100,1,5,0,0.1,1.1,3,0.464646464646465,0.494949494949495,0.454545454545455,0.454545454545455,0.454545454545455,0.454545454545455,0.474747474747475,0.474747474747475,0.44949494949495,0.44949494949495,0.46969696969697,0.46969696969697,0.482323232323232,0.46969696969697,0.44949494949495,0.585858585858586,0.462121212121212,0.454545454545455,0.46969696969697,0.434343434343434,0.464646464646465,0.484848484848485,NA,0.419191919191919,0.419191919191919,0.439393939393939,0.439393939393939,0.484848484848485,0.484848484848485
"11",500,1,5,0,0.1,1.1,3,0.577154308617234,0.56312625250501,0.577154308617234,0.577154308617234,0.56813627254509,0.56813627254509,0.537074148296593,0.537074148296593,0.540080160320641,0.540080160320641,0.554108216432866,0.554108216432866,0.559118236472946,0.555110220440882,0.541082164328657,0.495991983967936,0.486973947895792,0.55310621242485,0.471943887775551,0.520040080160321,0.520040080160321,0.536072144288577,NA,0.57815631262525,0.57815631262525,0.557114228456914,0.557114228456914,0.552104208416834,0.552104208416834
