"","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)","NA","NA","NA","NA"
"1",100,1,2,TRUE,0.671717171717172,0.666666666666667,0.661616161616162,0.661616161616162,0.661616161616162,0.661616161616162,0.542929292929293,0.542929292929293,0.48989898989899,0.48989898989899,0.570707070707071,0.570707070707071,0.641414141414141,0.626262626262626,0.5,0.5,NA,0.636363636363636,NA,0.626262626262626,0.608585858585859,0.664141414141414,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"2",500,1,2,TRUE,0.642284569138277,0.64128256513026,0.651302605210421,0.651302605210421,0.648296593186373,0.648296593186373,0.396793587174349,0.396793587174349,0.462925851703407,0.462925851703407,0.620741482965932,0.620741482965932,0.650300601202405,0.594188376753507,0.5,0.5,NA,0.632765531062124,NA,0.615230460921844,0.575150300601202,0.560120240480962,0.64128256513026,0.64128256513026,0.64128256513026,0.64128256513026,0.64128256513026,0.64128256513026,0.64128256513026
"3",1000,1,2,TRUE,0.604604604604605,0.601601601601602,0.626126126126126,0.626126126126126,0.619119119119119,0.619119119119119,0.491491491491492,0.491491491491492,0.496496496496497,0.496496496496497,0.601101101101101,0.601101101101101,0.673673673673674,0.581081081081081,0.5,0.5,NA,0.588338338338338,NA,0.585085085085085,0.612112112112112,0.630630630630631,0.601601601601602,0.601601601601602,0.601601601601602,0.601601601601602,0.601601601601602,0.601601601601602,0.601601601601602
"4",2000,1,2,TRUE,0.557153576788394,0.55727863931966,0.567033516758379,0.567033516758379,0.576038019009505,0.576038019009505,0.409579789894947,0.409579789894947,0.383691845922961,0.383691845922961,0.613431715857929,0.613431715857929,0.566533266633317,0.594297148574287,0.5,0.5,NA,0.561905952976488,NA,0.606553276638319,0.607553776888444,0.572036018009004,0.55727863931966,0.55727863931966,0.55727863931966,0.55727863931966,0.55727863931966,0.55727863931966,0.55727863931966
"5",100,5,2,TRUE,0.549473684210526,0.551578947368421,0.549473684210526,0.549473684210526,0.546315789473684,0.546315789473684,0.504736842105263,0.504736842105263,0.465263157894737,0.465263157894737,0.522631578947368,0.522631578947368,0.550526315789474,0.56,0.5,0.5,NA,0.542631578947368,NA,0.556842105263158,0.532631578947368,0.550526315789474,0.551578947368421,0.550526315789474,0.550526315789474,0.550526315789474,0.550526315789474,0.550526315789474,0.550526315789474
"6",500,5,2,TRUE,0.576969696969697,0.578585858585859,0.593535353535354,0.593535353535354,0.587474747474747,0.587474747474747,0.495050505050505,0.495050505050505,0.506060606060606,0.506060606060606,0.527272727272727,0.527272727272727,0.591111111111111,0.586161616161616,0.5,0.5,NA,0.582626262626263,NA,0.580909090909091,0.584444444444444,0.579191919191919,0.578585858585859,0.578787878787879,0.578787878787879,0.578787878787879,0.578787878787879,0.578787878787879,0.578787878787879
"7",1000,5,2,TRUE,0.582663316582914,0.581005025125628,0.561306532663317,0.561306532663317,0.576482412060302,0.576482412060302,0.462914572864322,0.462914572864322,0.464422110552764,0.464422110552764,0.55748743718593,0.55748743718593,0.567939698492462,0.565527638190955,0.5,0.5,NA,0.568391959798995,NA,0.566231155778894,0.570452261306533,0.585979899497487,0.58070351758794,0.58070351758794,0.58070351758794,0.58070351758794,0.58070351758794,0.58070351758794,0.58070351758794
"8",2000,5,2,TRUE,0.603082706766917,0.602907268170426,0.603609022556391,0.603609022556391,0.604761904761905,0.604761904761905,0.489799498746867,0.489799498746867,0.477218045112782,0.477218045112782,0.550526315789474,0.550526315789474,0.60265664160401,0.600852130325815,0.5,0.5,NA,0.607167919799499,NA,0.599949874686717,0.607769423558897,0.599799498746867,0.602907268170426,0.602907268170426,0.602907268170426,0.602907268170426,0.602907268170426,0.602907268170426,0.602907268170426
"9",100,10,2,TRUE,0.561111111111111,0.561666666666667,0.563611111111111,0.563611111111111,0.562777777777778,0.562777777777778,0.491944444444444,0.491944444444444,0.489166666666667,0.489166666666667,0.534166666666667,0.534166666666667,0.560555555555555,0.560277777777778,0.5,0.5,NA,0.554722222222222,NA,0.568055555555556,0.561111111111111,0.558055555555556,0.561111111111111,0.560555555555556,0.560555555555556,0.560555555555556,0.560555555555556,0.560555555555556,0.560555555555556
"10",500,10,2,TRUE,0.558520408163265,0.560612244897959,0.563061224489796,0.563061224489796,0.567959183673469,0.567959183673469,0.489948979591837,0.489948979591837,0.471020408163265,0.471020408163265,0.553979591836735,0.553979591836735,0.56030612244898,0.561173469387755,0.5,0.5,NA,0.571887755102041,NA,0.561632653061225,0.55969387755102,0.555510204081633,0.560510204081633,0.560408163265306,0.560408163265306,0.560408163265306,0.560408163265306,0.560408163265306,0.560408163265306
