"","auc(roc_Loo_multi)","auc(roc_Loo)","auc(roc_KNN_log_N_P)","auc(roc_KNN_log_N_P_diff_net)","auc(roc_KNN_5_sqrt_N)","auc(roc_KNN_5_sqrt_N_diff_net)","auc(roc_optics_k_mean)","auc(roc_optics_k_mean_diff_net)","auc(roc_optics_k_5)","auc(roc_optics_k_5_diff_net)","auc(roc_optics_sqrt_n)","auc(roc_optics_sqrt_n_diff_net)","auc(roc_OTS)","auc(roc_OTS_diff_net)","auc(roc_OTS_cosine)","auc(roc_OTS_diff_net_cosine)","auc(roc_OTS_cosine_med)","auc(roc_OTS_euc_med)","auc(roc_OTS_glob_avg_OTS)","auc(roc_spoutlier)","auc(roc_spoutlier_diff_net)","auc(roc_spoutlier_diff_net_norm)","auc_DPCC","auc(roc_cook_max)","auc(roc_cook_max_diff_net)","auc(roc_cook_avg)","auc(roc_cook_avg_diff_net)","auc(roc_cook_med)","auc(roc_cook_med_diff_net)","NA","NA","NA","NA"
"1",100,1,2,TRUE,0.666666666666667,0.666666666666667,0.651515151515152,0.651515151515152,0.656565656565657,0.656565656565657,0.545454545454545,0.545454545454545,0.515151515151515,0.515151515151515,0.575757575757576,0.575757575757576,0.646464646464647,0.636363636363636,0.5,0.5,NA,0.656565656565657,NA,0.626262626262626,0.616161616161616,0.656565656565657,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"2",500,1,2,TRUE,0.629258517034068,0.629258517034068,0.589178356713427,0.589178356713427,0.64128256513026,0.64128256513026,0.394789579158317,0.394789579158317,0.458917835671343,0.458917835671343,0.605210420841683,0.605210420841683,0.635270541082164,0.603206412825651,0.5,0.5,NA,0.629258517034068,NA,0.591182364729459,0.57314629258517,0.569138276553106,0.629258517034068,0.629258517034068,0.629258517034068,0.629258517034068,0.629258517034068,0.629258517034068,0.629258517034068
"3",1000,1,2,TRUE,0.617617617617618,0.618618618618619,0.646646646646647,0.646646646646647,0.631631631631632,0.631631631631632,0.491491491491492,0.491491491491492,0.466966966966967,0.466966966966967,0.597597597597598,0.597597597597598,0.675675675675676,0.594594594594595,0.5,0.5,NA,0.63013013013013,NA,0.591591591591592,0.613613613613614,0.605605605605606,0.618618618618619,0.618618618618619,0.618618618618619,0.618618618618619,0.618618618618619,0.618618618618619,0.618618618618619
"4",2000,1,2,TRUE,0.55727863931966,0.558279139569785,0.592296148074037,0.592296148074037,0.580290145072536,0.580290145072536,0.413706853426713,0.413706853426713,0.372686343171586,0.372686343171586,0.605802901450725,0.605802901450725,0.574787393696848,0.580790395197599,0.5,0.5,NA,0.550525262631316,NA,0.595797898949475,0.624812406203102,0.556778389194597,0.558279139569785,0.558279139569785,0.558279139569785,0.558279139569785,0.558279139569785,0.558279139569785,0.558279139569785
"5",100,5,2,TRUE,0.549473684210526,0.549473684210526,0.547368421052632,0.547368421052632,0.545263157894737,0.545263157894737,0.495789473684211,0.495789473684211,0.469473684210526,0.469473684210526,0.515789473684211,0.515789473684211,0.551578947368421,0.561052631578947,0.5,0.5,NA,0.547368421052632,NA,0.55578947368421,0.533684210526316,0.550526315789474,0.551578947368421,0.549473684210526,0.549473684210526,0.549473684210526,0.549473684210526,0.549473684210526,0.549473684210526
"6",500,5,2,TRUE,0.581212121212121,0.58020202020202,0.583434343434343,0.583434343434343,0.585454545454545,0.585454545454545,0.489494949494949,0.489494949494949,0.504646464646465,0.504646464646465,0.52969696969697,0.52969696969697,0.57979797979798,0.578989898989899,0.5,0.5,NA,0.579393939393939,NA,0.578787878787879,0.585454545454545,0.575353535353535,0.58020202020202,0.58020202020202,0.58020202020202,0.58020202020202,0.58020202020202,0.58020202020202,0.58020202020202
"7",1000,5,2,TRUE,0.586231155778895,0.587336683417085,0.57748743718593,0.57748743718593,0.58572864321608,0.58572864321608,0.475778894472362,0.475778894472362,0.477185929648241,0.477185929648241,0.557889447236181,0.557889447236181,0.605427135678392,0.569246231155779,0.5,0.5,NA,0.585025125628141,NA,0.581507537688442,0.574874371859296,0.591356783919598,0.587336683417085,0.587336683417085,0.587336683417085,0.587336683417085,0.587336683417085,0.587336683417085,0.587336683417085
"8",2000,5,2,TRUE,0.587418546365915,0.586766917293233,0.575338345864662,0.575338345864662,0.589573934837093,0.589573934837093,0.489022556390977,0.489022556390977,0.472882205513784,0.472882205513784,0.54671679197995,0.54671679197995,0.582255639097744,0.587268170426065,0.5,0.5,NA,0.58406015037594,NA,0.583959899749373,0.588471177944862,0.582255639097744,0.586967418546366,0.586967418546366,0.586967418546366,0.586967418546366,0.586967418546366,0.586967418546366,0.586967418546366
"9",100,10,2,TRUE,0.574444444444444,0.574444444444444,0.571666666666667,0.571666666666667,0.575555555555556,0.575555555555556,0.491111111111111,0.491111111111111,0.494444444444444,0.494444444444444,0.538888888888889,0.538888888888889,0.567222222222222,0.572777777777778,0.5,0.5,NA,0.555555555555556,NA,0.571111111111111,0.565,0.563333333333333,0.574444444444444,0.573333333333333,0.573333333333333,0.573333333333333,0.573333333333333,0.573333333333333,0.573333333333333
"10",500,10,2,TRUE,0.55765306122449,0.56,0.563673469387755,0.563673469387755,0.568775510204082,0.568775510204082,0.494489795918367,0.494489795918367,0.474285714285714,0.474285714285714,0.553979591836735,0.553979591836735,0.565510204081633,0.562244897959184,0.5,0.5,NA,0.571632653061224,NA,0.559183673469388,0.561428571428571,0.551428571428571,0.559591836734694,0.559795918367347,0.559795918367347,0.559795918367347,0.559795918367347,0.559795918367347,0.559795918367347
"11",1000,10,2,TRUE,0.576969696969697,0.576969696969697,0.567171717171717,0.567171717171717,0.572424242424242,0.572424242424242,0.466313131313131,0.466313131313131,0.478636363636364,0.478636363636364,0.541969696969697,0.541969696969697,0.583636363636364,0.562929292929293,0.5,0.5,NA,0.575808080808081,NA,0.564444444444444,0.571414141414141,0.564343434343434,0.576969696969697,0.576969696969697,0.576969696969697,0.576969696969697,0.576969696969697,0.576969696969697,0.576969696969697
"12",2000,10,2,TRUE,0.578015075376884,0.578140703517588,0.579698492462312,0.579698492462312,0.585326633165829,0.585326633165829,0.462989949748744,0.462989949748744,0.456959798994975,0.456959798994975,0.544798994974874,0.544798994974874,0.576582914572864,0.571105527638191,0.5,0.5,NA,0.580954773869347,NA,0.582914572864322,0.556934673366834,0.572763819095477,0.578140703517588,0.578190954773869,0.578190954773869,0.578190954773869,0.578190954773869,0.578190954773869,0.578190954773869
"13",100,1,3,TRUE,0.666666666666667,0.676767676767677,0.777777777777778,0.777777777777778,0.757575757575758,0.757575757575758,0.666666666666667,0.666666666666667,0.686868686868687,0.686868686868687,0.707070707070707,0.707070707070707,0.686868686868687,0.747474747474748,0.732323232323232,0.621212121212121,0.797979797979798,0.747474747474748,0.787878787878788,0.727272727272727,0.717171717171717,0.767676767676768,NA,0.818181818181818,0.818181818181818,0.828282828282828,0.828282828282828,0.818181818181818,0.818181818181818
"14",500,1,3,TRUE,0.599198396793587,0.639278557114228,0.745490981963928,0.745490981963928,0.725450901803607,0.725450901803607,0.691382765531062,0.691382765531062,0.691382765531062,0.691382765531062,0.769539078156313,0.769539078156313,0.693386773547094,0.731462925851703,0.753507014028056,0.637274549098196,0.745490981963928,0.713426853707415,0.735470941883767,0.719438877755511,0.725450901803607,0.723446893787575,NA,0.791583166332665,0.791583166332665,0.793587174348697,0.793587174348697,0.807615230460922,0.807615230460922
"15",1000,1,3,TRUE,0.573573573573574,0.632632632632633,0.740740740740741,0.740740740740741,0.720720720720721,0.720720720720721,0.691691691691692,0.691691691691692,0.691691691691692,0.691691691691692,0.743743743743744,0.743743743743744,0.693693693693694,0.663663663663664,0.77977977977978,0.656656656656657,0.788788788788789,0.6996996996997,0.753753753753754,0.703703703703704,0.672672672672673,0.702702702702703,NA,0.7997997997998,0.7997997997998,0.80980980980981,0.80980980980981,0.787787787787788,0.787787787787788
"16",2000,1,3,TRUE,0.602301150575288,0.630815407703852,0.707853926963482,0.707853926963482,0.697848924462231,0.697848924462231,0.687843921960981,0.687843921960981,0.687843921960981,0.687843921960981,0.700350175087544,0.700350175087544,0.678339169584792,0.670335167583792,0.728864432216108,0.60280140070035,0.72336168084042,0.689844922461231,0.699349674837419,0.698849424712356,0.696848424212106,0.690845422711356,NA,0.740370185092546,0.740370185092546,0.728364182091045,0.728364182091045,0.722361180590295,0.722361180590295
"17",100,5,3,TRUE,0.576842105263158,0.597894736842105,0.633684210526316,0.633684210526316,0.629473684210526,0.629473684210526,0.604210526315789,0.604210526315789,0.602105263157895,0.602105263157895,0.602105263157895,0.602105263157895,0.632631578947368,0.629473684210526,0.672631578947368,0.586315789473684,0.650526315789474,0.641052631578947,0.652631578947368,0.64,0.618947368421053,0.642105263157895,NA,0.656842105263158,0.656842105263158,0.656842105263158,0.656842105263158,0.658947368421053,0.658947368421053
"18",500,5,3,TRUE,0.607070707070707,0.604444444444444,0.663838383838384,0.663838383838384,0.65050505050505,0.65050505050505,0.638585858585859,0.638585858585859,0.638585858585859,0.638585858585859,0.669494949494949,0.669494949494949,0.633535353535354,0.64040404040404,0.676363636363636,0.584444444444444,0.678787878787879,0.647676767676768,0.661818181818182,0.642424242424242,0.64,0.640606060606061,NA,0.670707070707071,0.670707070707071,0.671515151515152,0.671515151515152,0.669494949494949,0.669494949494949
"19",1000,5,3,TRUE,0.54572864321608,0.57427135678392,0.622713567839196,0.622713567839196,0.616281407035176,0.616281407035176,0.612060301507538,0.612060301507538,0.612060301507538,0.612060301507538,0.647638190954774,0.647638190954774,0.608140703517588,0.614472361809045,0.637989949748744,0.583718592964824,0.646030150753769,0.614472361809045,0.636582914572864,0.603819095477387,0.600603015075377,0.620502512562814,NA,0.637788944723618,0.637788944723618,0.647035175879397,0.647035175879397,0.646231155778894,0.646231155778894
"20",2000,5,3,TRUE,0.572731829573935,0.602105263157895,0.654135338345865,0.654135338345865,0.644812030075188,0.644812030075188,0.617142857142857,0.617142857142857,0.617142857142857,0.617142857142857,0.678796992481203,0.678796992481203,0.621353383458647,0.627067669172932,0.646115288220551,0.588170426065163,0.661553884711779,0.646315789473684,0.660350877192982,0.629172932330827,0.62937343358396,0.637393483709273,NA,0.666265664160401,0.666265664160401,0.662957393483709,0.662957393483709,0.665363408521303,0.665363408521303
"21",100,10,3,TRUE,0.55,0.573333333333333,0.605555555555556,0.605555555555556,0.601111111111111,0.601111111111111,0.605555555555556,0.605555555555556,0.608888888888889,0.608888888888889,0.606111111111111,0.606111111111111,0.597777777777778,0.598333333333333,0.633333333333333,0.579444444444444,0.636666666666667,0.61,0.628888888888889,0.596666666666667,0.601666666666667,0.605555555555556,NA,0.615555555555556,0.615555555555556,0.62,0.62,0.623333333333333,0.623333333333333
"22",500,10,3,TRUE,0.566224489795918,0.589387755102041,0.641836734693878,0.641836734693878,0.640204081632653,0.640204081632653,0.632551020408163,0.632551020408163,0.632551020408163,0.632551020408163,0.661836734693878,0.661836734693878,0.62734693877551,0.628877551020408,0.66030612244898,0.584081632653061,0.688367346938776,0.624897959183674,0.656530612244898,0.618775510204082,0.608775510204082,0.631428571428571,NA,0.658163265306122,0.658163265306122,0.664285714285714,0.664285714285714,0.667142857142857,0.667142857142857
"23",1000,10,3,TRUE,0.558030303030303,0.585858585858586,0.62979797979798,0.62979797979798,0.627676767676768,0.627676767676768,0.611212121212121,0.611212121212121,0.611212121212121,0.611212121212121,0.654040404040404,0.654040404040404,0.621717171717172,0.62010101010101,0.647171717171717,0.593535353535354,0.646565656565657,0.62030303030303,0.638383838383838,0.611212121212121,0.62979797979798,0.626363636363636,NA,0.646464646464647,0.646464646464647,0.653838383838384,0.653838383838384,0.65969696969697,0.65969696969697
"24",2000,10,3,TRUE,0.560502512562814,0.599849246231156,0.644773869346734,0.644773869346734,0.639145728643216,0.639145728643216,0.616582914572864,0.616582914572864,0.616582914572864,0.616582914572864,0.663015075376884,0.663015075376884,0.630452261306533,0.633015075376884,0.64929648241206,0.556733668341709,0.675477386934673,0.632412060301508,0.66105527638191,0.62427135678392,0.626532663316583,0.63678391959799,NA,0.659698492462312,0.659698492462312,0.664673366834171,0.664673366834171,0.657587939698492,0.657587939698492
"25",100,1,5,TRUE,0.656565656565657,0.626262626262626,0.717171717171717,0.717171717171717,0.717171717171717,0.717171717171717,0.595959595959596,0.595959595959596,0.646464646464647,0.646464646464647,0.525252525252525,0.525252525252525,0.696969696969697,0.707070707070707,0.898989898989899,0.803030303030303,0.929292929292929,0.707070707070707,0.888888888888889,0.707070707070707,0.727272727272727,0.737373737373737,NA,0.94949494949495,0.94949494949495,0.96969696969697,0.96969696969697,0.96969696969697,0.96969696969697
"26",500,1,5,TRUE,0.687374749498998,0.697394789579158,0.81563126252505,0.81563126252505,0.803607214428858,0.803607214428858,0.803607214428858,0.803607214428858,0.791583166332665,0.791583166332665,0.751503006012024,0.751503006012024,0.775551102204409,0.753507014028056,0.867735470941884,0.759519038076152,0.923847695390782,0.763527054108216,0.923847695390782,0.791583166332665,0.783567134268537,0.777555110220441,NA,0.979959919839679,0.979959919839679,0.983967935871743,0.983967935871743,0.985971943887776,0.985971943887776
"27",1000,1,5,TRUE,0.63963963963964,0.620620620620621,0.817817817817818,0.817817817817818,0.773773773773774,0.773773773773774,0.832832832832833,0.832832832832833,0.835835835835836,0.835835835835836,0.73973973973974,0.73973973973974,0.745745745745746,0.732732732732733,0.904904904904905,0.811811811811812,0.947947947947948,0.720720720720721,0.920920920920921,0.721721721721722,0.727727727727728,0.758758758758759,NA,0.978978978978979,0.978978978978979,0.983983983983984,0.983983983983984,0.972972972972973,0.972972972972973
"28",2000,1,5,TRUE,0.720860430215108,0.690345172586293,0.857428714357179,0.857428714357179,0.818409204602301,0.818409204602301,0.890445222611306,0.890445222611306,0.850925462731366,0.850925462731366,0.850425212606303,0.850425212606303,0.770385192596298,0.784392196098049,0.881940970485243,0.793896948474237,0.951975987993997,0.767383691845923,0.944472236118059,0.753376688344172,0.769384692346173,0.776388194097049,NA,0.993496748374187,0.993496748374187,0.995497748874437,0.995497748874437,0.994497248624312,0.994497248624312
"29",100,5,5,TRUE,0.585263157894737,0.574736842105263,0.631578947368421,0.631578947368421,0.629473684210526,0.629473684210526,0.568421052631579,0.568421052631579,0.589473684210526,0.589473684210526,0.547368421052632,0.547368421052632,0.635789473684211,0.614736842105263,0.734736842105263,0.67578947368421,0.761052631578947,0.633684210526316,0.722105263157895,0.627368421052632,0.631578947368421,0.636842105263158,NA,0.753684210526316,0.753684210526316,0.764210526315789,0.764210526315789,0.781052631578947,0.781052631578947
"30",500,5,5,TRUE,0.572525252525253,0.573333333333333,0.644444444444444,0.644444444444444,0.632727272727273,0.632727272727273,0.693737373737374,0.693737373737374,0.700808080808081,0.700808080808081,0.613333333333333,0.613333333333333,0.623838383838384,0.627474747474748,0.742222222222222,0.712727272727273,0.777777777777778,0.61010101010101,0.72969696969697,0.62989898989899,0.623030303030303,0.646262626262626,NA,0.791515151515152,0.791515151515152,0.80040404040404,0.80040404040404,0.811313131313131,0.811313131313131
"31",1000,5,5,TRUE,0.62964824120603,0.594572864321608,0.695879396984925,0.695879396984925,0.674773869346734,0.674773869346734,0.722211055276382,0.722211055276382,0.732060301507538,0.732060301507538,0.669346733668342,0.669346733668342,0.644824120603015,0.64643216080402,0.775879396984925,0.714572864321608,0.7921608040201,0.650251256281407,0.758391959798995,0.655477386934673,0.64643216080402,0.678391959798995,NA,0.8078391959799,0.8078391959799,0.81427135678392,0.81427135678392,0.824120603015075,0.824120603015075
"32",2000,5,5,TRUE,0.610175438596491,0.600200501253133,0.697944862155388,0.697944862155388,0.682005012531328,0.682005012531328,0.76280701754386,0.76280701754386,0.753684210526316,0.753684210526316,0.706365914786967,0.706365914786967,0.659047619047619,0.638095238095238,0.748571428571429,0.717694235588972,0.783659147869674,0.648721804511278,0.757694235588972,0.64812030075188,0.650325814536341,0.682606516290727,NA,0.822556390977444,0.822556390977444,0.824862155388471,0.824862155388471,0.837593984962406,0.837593984962406
"33",100,10,5,TRUE,0.577777777777778,0.561111111111111,0.598888888888889,0.598888888888889,0.596666666666667,0.596666666666667,0.567777777777778,0.567777777777778,0.585555555555556,0.585555555555556,0.543333333333333,0.543333333333333,0.606666666666667,0.600555555555556,0.695555555555556,0.648333333333333,0.724444444444444,0.605555555555556,0.694444444444444,0.602222222222222,0.600555555555556,0.616111111111111,NA,0.693333333333333,0.693333333333333,0.707777777777778,0.707777777777778,0.714444444444444,0.714444444444444
"34",500,10,5,TRUE,0.593979591836735,0.567959183673469,0.640204081632653,0.640204081632653,0.629387755102041,0.629387755102041,0.694285714285714,0.694285714285714,0.69530612244898,0.69530612244898,0.635918367346939,0.635918367346939,0.624285714285714,0.614897959183674,0.749387755102041,0.69265306122449,0.768571428571429,0.61469387755102,0.723265306122449,0.626326530612245,0.621632653061225,0.635714285714286,NA,0.761224489795918,0.761224489795918,0.771428571428571,0.771428571428571,0.785102040816327,0.785102040816327
"35",1000,10,5,TRUE,0.60010101010101,0.595959595959596,0.676464646464646,0.676464646464646,0.664747474747475,0.664747474747475,0.73969696969697,0.73969696969697,0.727575757575758,0.727575757575758,0.673939393939394,0.673939393939394,0.646262626262626,0.643535353535354,0.764545454545455,0.68969696969697,0.780707070707071,0.641919191919192,0.747878787878788,0.643636363636364,0.642828282828283,0.673636363636364,NA,0.799292929292929,0.799292929292929,0.810505050505051,0.810505050505051,0.818484848484848,0.818484848484848
"36",2000,10,5,TRUE,0.602412060301508,0.582412060301507,0.686180904522613,0.686180904522613,0.668190954773869,0.668190954773869,0.754572864321608,0.754572864321608,0.737437185929648,0.737437185929648,0.707386934673367,0.707386934673367,0.63748743718593,0.637336683417085,0.764673366834171,0.692060301507538,0.789547738693467,0.640552763819095,0.754673366834171,0.640452261306533,0.641557788944724,0.660552763819095,NA,0.789597989949749,0.789597989949749,0.807688442211055,0.807688442211055,0.818643216080402,0.818643216080402
